"ACTUARIAL SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","42","",".",".",".",".",".",".",".","",".","",".","100.0","",".","",".",".",".",".","."
"","301
001","27","",".",".",".",".",".",".",".","",".","",".","100.0","",".","",".",".",".",".","."
"","301
002","21","",".",".",".",".",".",".",".","",".","",".","100.0","",".","",".",".",".",".","."
"Actuarial Science Methods II","Course Total","48","",".",".",".",".",".",".",".","",".","",".","100.0","",".","",".",".",".",".","."
"","001
303","24","3.083","25.0","25.0","20.8","8.3","16.7","4.2",".","",".","",".",".","",".","",".",".",".",".","."
"","303
002","32","3.031","21.9","21.9","31.3","9.4","9.4","3.1","3.1","",".","",".",".","",".","",".",".",".",".","."
"Theory of Interest","Course Total","56","3.054","23.2","23.2","26.8","8.9","12.5","3.6","1.8","",".","",".",".","",".","",".",".",".",".","."
"Contemporary Topics","365
001","17","3.706","70.6","11.8","11.8",".","5.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"Reading and Research","399
001","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Actuarial Mathematics I","650
001","22","3.167","22.7","27.3","22.7","13.6","4.5","4.5",".","",".","",".",".","",".","",".","4.5",".",".","."
"Actuarial Mathematics II","651
001","15","3.367","46.7","13.3","13.3","20.0","6.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"Loss Models I","652
001","28","3.071","35.7","7.1","32.1",".","17.9","7.1",".","",".","",".",".","",".","",".",".",".",".","."
"Loss Models II","653
001","36","3.222","27.8","27.8","22.2","11.1","8.3","2.8",".","",".","",".",".","",".","",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","31","3.783","61.3","29.0","6.5",".",".",".",".","",".","",".",".","",".","",".","3.2",".",".","."
"Health Analytics","655
001","21","3.476","33.3","42.9","9.5","14.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"ACT SCI
242","Dept. Total","317","3.304","26.5","16.7","14.2","5.7","5.7","1.9","0.3","",".","",".","28.4","",".","",".","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","50","3.345","22.0","16.0","12.0","4.0","2.0",".","2.0","",".","",".","42.0","",".","",".",".",".",".","."
"Junior","","112","3.079","17.0","6.3","15.2","1.8","6.3","4.5",".","",".","",".","49.1","",".","",".",".",".",".","."
"Senior","","127","3.461","38.6","24.4","15.0","9.4","3.9",".",".","",".","",".","7.1","",".","",".","1.6",".",".","."
"Undergraduates","","289","3.337","27.3","15.9","14.5","5.5","4.5","1.7","0.3","",".","",".","29.4","",".","",".","0.7",".",".","."
"Special","","25","2.975","20.0","20.0","8.0","8.0","20.0","4.0",".","",".","",".","20.0","",".","",".",".",".",".","."
"Graduate","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","317","3.304","26.5","16.7","14.2","5.7","5.7","1.9","0.3","",".","",".","28.4","",".","",".","0.6",".",".","."
