"CLASSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Med Term-Greek&Latin Origin","205
001","89","3.733","82.0","6.7","3.4","1.1","1.1","2.2","2.2","1.1","",".",".","",".","",".",".",".",".","."
"Intro to Biblical Lit","227
001","26","2.212",".","3.8","38.5","15.4","26.9",".","15.4",".","",".",".","",".","",".",".",".",".","."
"Art & Archaeology-Ancient Rome","304
001","23","3.432","52.2","13.0","17.4","8.7",".",".","4.3","4.3","",".",".","",".","",".",".",".",".","."
"The Romans","322
001","76","3.789","76.3","14.5","5.3","1.3","1.3","1.3",".",".","",".",".","",".","",".",".",".",".","."
"Sex and Power","361
001","39","3.743","76.9","10.3",".","2.6","2.6",".","2.6","5.1","",".",".","",".","",".",".",".",".","."
"Classical Mythology","370
001","193","3.516","55.4","17.6","15.0","3.1","6.2","1.0","1.0","0.5","",".",".","",".","",".",".",".",".","."
"Topics in Classical Culture","373
002","8","3.214","12.5","25.0","37.5","12.5",".",".",".",".","",".",".","",".","",".","12.5",".",".","."
"Greeks, Romans, Nat. Env.","488
001","19","3.882","68.4","21.1",".",".",".",".",".",".","",".",".","",".","",".","5.3","5.3",".","."
"Undergrad Smr:Classicl Wrld","591
001","11","3.545","81.8",".","9.1",".",".",".","9.1",".","",".",".","",".","",".",".",".",".","."
"Senior Thesis","692
001","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".","100.0",".",".","."
"Directed Reading","699
042","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Seminar","900
001","4","4.000","75.0",".",".",".",".",".",".",".","",".",".","",".","",".","25.0",".",".","."
"CLASSICS
244","Dept. Total","490","3.531","62.7","13.3","11.0","3.3","4.5","1.0","2.2","1.0","",".",".","",".","",".","0.8","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"244
CLASSICS","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","52","3.413","53.8","15.4","15.4","1.9","9.6","1.9","1.9",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","139","3.581","62.6","18.0","11.5","2.2","2.9","0.7","2.2",".","",".",".","",".","",".",".",".",".","."
"Junior","","120","3.389","55.8","11.7","14.2","7.5","6.7","0.8","2.5",".","",".",".","",".","",".","0.8",".",".","."
"Senior","","169","3.613","70.4","10.7","7.7","1.8","3.0","1.2","2.4","1.8","",".",".","",".","",".","1.2",".",".","."
"Undergraduates","","480","3.525","62.7","13.5","11.3","3.3","4.6","1.0","2.3","0.6","",".",".","",".","",".","0.6",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".","",".",".","25.0",".","."
"Graduate","","6","4.000","83.3",".",".",".",".",".",".",".","",".",".","",".","",".","16.7",".",".","."
"","Dept. Total","490","3.531","62.7","13.3","11.0","3.3","4.5","1.0","2.2","1.0","",".",".","",".","",".","0.8","0.2",".","."
