"LAFOLLETTE SCHOOL PUB AFF Section","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Contemp Public Policy Issues","200
001","","84","3.056","22.6","15.5","31.0","14.3","","8.3","","1.2","","2.4","1.2","",".",".","",".","",".","1.2",".","2.4","."
"Intro to Health Policy in U.S.","201
001","","48","3.894","77.1","20.8",".",".","",".","",".","",".","2.1","",".",".","",".","",".",".",".",".","."
"Evidence-Based Policy Making","240
001","","25","3.540","64.0","28.0",".",".","",".","",".","","8.0",".","",".",".","",".","",".",".",".",".","."
"What Works in Health Policy","281
001","","26","3.635","65.4","15.4","3.8","11.5","","3.8","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Strategic Public Management","285
001","","23","3.523","56.5","21.7","8.7",".","","4.3","",".","","4.3","4.3","",".",".","",".","",".",".",".",".","."
"Directed Study","299
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Administrative Internship","327
001","","15","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"U.S. Environ Politics & Policy","366
001","","12","3.542","41.7","33.3","16.7","8.3","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","380
001","","28","3.536","35.7","46.4","7.1","10.7","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","380
002","","30","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","380
003","","29","4.000","96.6",".",".",".","",".","",".","",".",".","",".",".","",".","",".","3.4",".",".","."
"Tools for Public Policy","Course Total","","87","3.849","78.2","14.9","2.3","3.4","",".","",".","",".",".","",".",".","",".","",".","1.1",".",".","."
"Inequality, Race & Publ Policy","520
001","","28","3.643","50.0","32.1","14.3","3.6","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Economics of Health Care","548
001","","1","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Regional Econ Prob Analysis","734
001","","2","3.750","50.0","50.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Public Affairs Seminar Series","802
001","","9","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Energy Analysis & Policy Capst","810
001","","5","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Adv Stat Meths-Pub Pol Anal","819
001","","18","3.765","50.0","44.4",".",".","",".","",".","",".","5.6","",".",".","",".","",".",".",".",".","."
"Community Economic Analysis","820
001","","3","3.833","66.7","33.3",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Administrative Internship","827
001","","3","",".",".",".",".","",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"Trade, Competition&Governance","856
001","","16","3.719","56.3","31.3","12.5",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Workshop-Int'l Public Affairs","860
001","","9","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","869
001","","16","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","869
002","","10","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Workshop in Public Affairs","Course Total","","26","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","873
001","","20","3.895","75.0","20.0",".",".","",".","",".","",".",".","",".",".","",".","",".","5.0",".",".","."
"","873
002","","15","3.786","53.3","40.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".","6.7","."
"","873
003","","20","3.921","90.0",".",".","5.0","",".","",".","",".",".","",".",".","",".","",".","5.0",".",".","."
"Intro to Policy Analysis","Course Total","","55","3.875","74.5","18.2",".","1.8","",".","",".","",".",".","",".",".","",".","",".","3.6",".","1.8","."
"","878
001","","24","3.958","91.7","8.3",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","878
002","","19","3.816","63.2","36.8",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Public Management","Course Total","","43","3.895","79.1","20.9",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Public Budgeting","892
001","","24","3.938","87.5","12.5",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","974
001","","8","4.000","100.0",".",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","974
002","","10","3.900","80.0","20.0",".",".","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","974
003","","20","3.700","60.0","25.0","10.0","5.0","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Topics in Public Affairs","Course Total","","38","3.816","73.7","18.4","5.3","2.6","",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
