"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","","","","","",""
"Semiconductr Physics&Device","445
001","","14","3.615","42.9","28.6","21.4",".",".","",".","",".",".","",".",".","",".","",".",".","7.1",".","."
"Embedded Microproc System Dsgn","453
001","","39","3.949","89.7","10.3",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Computers in Medicine","463
001","","15","3.600","60.0","20.0","6.7","6.7","6.7","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Honors in Research","489
066","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Introduction to Optimization","524
001","","37","3.667","56.8","21.6","16.2",".","2.7","",".","",".","2.7","",".",".","",".","",".",".",".",".","."
"Introduction to Plasmas","525
001","","5","3.250","40.0",".","20.0",".","20.0","",".","",".","20.0","",".",".","",".","",".",".",".",".","."
"Plasma Confinement&Heating","527
001","","1","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","532
001","","19","3.711","57.9","31.6","5.3","5.3",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","532
002","","30","3.383","40.0","20.0","23.3","10.0","6.7","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Mtrx Mthds in Machine Learning","Course Total","","49","3.510","46.9","24.5","16.3","8.2","4.1","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Artificl Neural Ntwrks","539
001","","38","3.486","31.6","36.8","21.1","2.6","2.6","",".","",".",".","",".",".","",".","",".",".","5.3",".","."
"Adv Com Circuit Dsgn","547
001","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"IC Fabrication Lab","549
001","","6","3.417","33.3","16.7","50.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Digital Sys Design & Synthesis","551
001","","91","3.242","27.5","17.6","40.7","8.8","3.3","","2.2","",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Computer Architecture","552
001","","70","3.356","38.6","24.3","14.3","8.6","5.7","","1.4","","1.4","1.4","",".",".","",".","",".","4.3",".",".","."
"Digital Engineering Lab","554
001","","30","3.767","63.3","26.7","10.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Dsgn Automation Digital Sys","556
001","","38","3.224","39.5","13.2","18.4","21.1","5.3","",".","","2.6",".","",".",".","",".","",".",".",".",".","."
"Intro to Doctoral Research","611
001","","35","3.971","94.3","5.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
006","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
014","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
037","","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".",".",".",".","."
"","699
039","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
053","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
058","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
060","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
066","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
071","","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
077","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
101","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
102","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
111","","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
112","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
113","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","699
115","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Independent Study","Course Total","","20","4.000","95.0",".",".",".",".","",".","",".","5.0","",".",".","",".","",".",".",".",".","."
"Grad Cooperative Educ Program","702
001","","4","",".",".",".",".",".","",".","",".",".","",".","75.0","",".","",".",".",".",".","."
"","711
001","","22","3.705","54.5","31.8","13.6",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","711
003","","12","3.650","41.7","25.0","16.7",".",".","",".","",".",".","",".",".","",".","",".","16.7",".",".","."
"Dynamcs& Control-AC Drives","Course Total","","34","3.688","50.0","29.4","14.7",".",".","",".","",".",".","",".",".","",".","",".","5.9",".",".","."
"Electrmgntc Dsgn-AC Machins","713
003","","18","3.833","66.7","33.3",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Utilty Appl-Powr Electroncs","714
001","","12","3.917","83.3","16.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 126 of 454",""
