"FRENCH (FRENCH AND ITALIAN) Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","16","3.531","56.3","25.0",".","6.3","12.5",".",".",".","",".",".","",".","",".",".",".",".","."
"","101
002","19","3.105","57.9","15.8",".","5.3","5.3",".","15.8",".","",".",".","",".","",".",".",".",".","."
"","101
003","19","3.632","52.6","36.8",".","5.3","5.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","101
004","19","3.471","47.4","21.1","15.8",".",".",".","5.3","5.3","",".",".","",".","",".",".",".",".","5.3"
"","101
005","23","3.457","56.5","21.7","8.7",".","8.7",".","4.3",".","",".",".","",".","",".",".",".",".","."
"First Semester French","Course Total","96","3.436","54.2","24.0","5.2","3.1","6.3",".","5.2","1.0","",".",".","",".","",".",".",".",".","1.0"
"","102
001","20","3.250","25.0","40.0","10.0","10.0","15.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","102
002","26","3.558","50.0","26.9","15.4",".","7.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","102
003","24","3.479","45.8","29.2","4.2","16.7","4.2",".",".",".","",".",".","",".","",".",".",".",".","."
"","102
004","20","3.750","70.0","10.0","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester French","Course Total","90","3.511","47.8","26.7","12.2","6.7","6.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","203
001","23","3.214","26.1","13.0","26.1","26.1",".",".",".","8.7","",".",".","",".","",".",".",".",".","."
"","203
002","26","3.600","42.3","34.6","15.4","3.8",".",".",".",".","",".",".","",".","",".","3.8",".",".","."
"Third Semester French","Course Total","49","3.424","34.7","24.5","20.4","14.3",".",".",".","4.1","",".",".","",".","",".","2.0",".",".","."
"","204
001","13","2.962","7.7","38.5","23.1",".","30.8",".",".",".","",".",".","",".","",".",".",".",".","."
"","204
002","13","3.000","15.4","23.1","30.8","7.7","23.1",".",".",".","",".",".","",".","",".",".",".",".","."
"","204
003","16","3.400","43.8","25.0",".","12.5","12.5",".",".",".","",".",".","",".","",".","6.3",".",".","."
"Fourth Semester French","Course Total","42","3.134","23.8","28.6","16.7","7.1","21.4",".",".",".","",".",".","",".","",".","2.4",".",".","."
"","001
211","19","3.711","68.4","26.3",".",".",".","5.3",".",".","",".",".","",".","",".",".",".",".","."
"","211
011","93","3.709","57.0","29.0","8.6","2.2","1.1",".",".","1.1","",".",".","",".","",".","1.1",".",".","."
"French Lit & Interdis Studies","Course Total","112","3.709","58.9","28.6","7.1","1.8","0.9","0.9",".","0.9","",".",".","",".","",".","0.9",".",".","."
"","228
001","11","3.864","72.7","27.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","228
002","28","3.911","82.1","17.9",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","228
003","17","3.382","41.2","41.2",".","11.8",".",".","5.9",".","",".",".","",".","",".",".",".",".","."
"Intermed Language & Culture","Course Total","56","3.741","67.9","26.8",".","3.6",".",".","1.8",".","",".",".","",".","",".",".",".",".","."
"","271
001","20","3.700","55.0","30.0","15.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","271
003","22","3.818","77.3","13.6","4.5","4.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","271
012","6","3.667","33.3","66.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Literary Analysis","Course Total","48","3.750","62.5","27.1","8.3","2.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Adv Oral & Written Expression","312
001","18","3.889","83.3","11.1","5.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Comtemp Iss-Gov,Org&Enterprise","314
001","24","3.938","87.5","12.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321
001","10","3.700","50.0","40.0","10.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Lit of Modernity","322
001","12","3.792","58.3","41.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347
001","16","3.719","62.5","31.3",".",".","6.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","391
001","20","3.594","60.0","5.0","10.0",".",".",".","5.0","20.0","",".",".","",".","",".",".",".",".","."
"","391
002","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"French-Reading Knowledge","Course Total","21","3.618","61.9","4.8","9.5",".",".",".","4.8","19.0","",".",".","",".","",".",".",".",".","."
"French Literature & Medicine","464
001","5","3.800","60.0","40.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"French/Francophone Film","465
001","18","3.861","72.2","27.8",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Critical Approaches","569
001","12","3.958","91.7","8.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Phonetics","590
001","18","3.806","72.2","16.7","11.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Contemporary Skill Set","617
001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 233 of 454",""
