"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"REAL EST","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","75","3.047","21.3","30.7","18.7","10.7","13.3","2.7","2.7",".","",".",".","",".",".",".",".",".","."
"Junior","206","3.375","35.0","28.2","24.3","7.8","3.4","1.0","0.5",".","",".",".","",".",".",".",".",".","."
"Senior","482","3.528","46.5","25.1","17.6","5.6","3.1","0.2","1.2","0.4","",".",".","",".",".","0.2",".",".","."
"Undergraduates","764","3.431","40.8","26.4","19.6","6.7","4.2","0.7","1.2","0.3","",".",".","",".",".","0.1",".",".","."
"Special","5","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","254","3.681","54.3","21.7","18.1","1.6","0.4",".",".","2.0","",".",".","",".","1.2","0.8",".",".","."
"Prof Yr 2","3","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","7","3.824","85.7",".","14.3",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Professionals","10","3.875","90.0",".","10.0",".",".",".",".",".","",".",".","",".",".",".",".",".","."
