"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"M S & E","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","4","***","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","62","3.198","27.4","22.6","32.3","9.7","4.8",".","1.6",".",".",".","",".",".","1.6",".",".","."
"Junior","","165","3.310","25.5","35.2","27.9","6.7","2.4","0.6","1.2",".",".",".","",".",".","0.6",".",".","."
"Senior","","334","3.606","52.4","24.0","16.8","3.9","1.2",".","0.3",".",".",".","",".",".","1.5",".",".","."
"Undergraduates","","565","3.478","42.1","26.9","21.6","5.3","1.9","0.2","0.7",".",".",".","",".",".","1.2",".",".","."
"Special","","10","3.550","40.0","30.0","30.0",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Graduate","","215","3.600","27.9","10.2","10.2",".","0.5","0.5",".","27.4","0.5","10.2","",".","10.2",".","0.9","0.5","0.9"
"","Dept. Total","790","3.497","38.2","22.4","18.6","3.8","1.5","0.3","0.5","7.5","0.1","2.8","",".","2.8","0.9","0.3","0.1","0.3"
