"","990
156","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
158","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
159","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Research","Course Total","49","",".",".",".",".",".",".",".","75.5","",".",".","",".","22.4",".",".","2.0","."
"PATH
704","Dept. Total","511","3.222","14.3","8.4","6.3","5.1","2.5","1.6","0.2","51.3","",".","7.6","",".","2.2","0.2",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","","15","2.919","33.3","20.0","6.7","13.3","13.3","13.3",".",".","",".",".","",".",".",".",".",".","."
"Senior","","41","3.308","43.9","26.8","9.8","7.3","4.9","4.9","2.4",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","57","3.225","42.1","24.6","8.8","8.8","7.0","7.0","1.8",".","",".",".","",".",".",".",".",".","."
"Special","","4","***","","","","","","","","","","",".","",".",".",".",".","25.0","."
"Graduate","","153","3.827","41.2","2.0","3.3",".",".",".",".","21.6","",".","24.2","",".","7.2",".",".","0.7","."
"Prof Yr 1","","102","3.051","20.6","23.5","21.6","20.6","8.8","3.9",".",".","",".",".","",".",".","1.0",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","","103","",".",".",".",".",".",".",".","98.1","",".","1.9","",".",".",".",".",".","."
"Prof Yr 4","","127","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"Professionals","","333","3.051","6.3","7.2","6.6","6.3","2.7","1.2",".","68.8","",".","0.6","",".",".","0.3",".",".","."
"","Dept. Total","547","3.222","19.9","7.9","5.9","4.8","2.4","1.5","0.2","47.9","",".","7.1","",".","2.0","0.2",".","0.4","."
