"GEOSCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"420
GEOSCI","","","","","","","","","","","","","","","","","","","","","","",""
"Introductory Geology","100","001","476","3.717","69.1","18.1","8.0","1.5","1.9","0.6","0.8",".","",".",".","",".","",".",".",".",".","."
"Survey of Oceanography","105","001","24","3.278","12.5","37.5","8.3","12.5","4.2",".",".",".","",".",".","",".","",".",".",".","25.0","."
"Environmental Geology","106","001","94","3.066","28.7","24.5","12.8","11.7","13.8","1.1","4.3","2.1","",".",".","",".","",".","1.1",".",".","."
"Evolution and Extinction","110","001","183","3.201","32.2","23.0","18.0","10.4","13.1","2.7",".",".","",".",".","",".","",".",".",".",".","0.5"
"Natural Hazards and Disasters","140","001","7","3.357","57.1",".","14.3","14.3","14.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Life in the Universe","160","001","60","2.802","15.0","5.0","23.3","20.0","11.7","3.3","1.7","20.0","",".",".","",".","",".",".",".",".","."
"Directed Study","199","032","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Geologic Evolution of Earth","204","001","36","2.653","13.9","27.8","16.7","8.3","13.9","13.9","5.6",".","",".",".","",".","",".",".",".",".","."
"Geomorphology","320","001","14","2.885","7.1","14.3","35.7","21.4","14.3",".",".",".","",".",".","",".","",".","7.1",".",".","."
"","331","001","239","3.472","37.7","36.8","11.7","4.6","2.9","2.1","0.4",".","",".",".","",".","",".",".",".","3.8","."
"","331","002","61","3.650","59.0","26.2","4.9","6.6",".",".","1.6","1.6","",".",".","",".","",".",".",".",".","."
"Gems: Sci Behind the Sparkle","","Course Total","300","3.533","42.0","34.7","10.3","5.0","2.3","1.7","0.7","0.3","",".",".","",".","",".",".",".","3.0","."
"Intro Geophysics:Dynmic  Earth","350","001","11","3.100","9.1","36.4","36.4",".",".","9.1",".","9.1","",".",".","",".","",".",".",".",".","."
"Elementary Petrology","370","001","17","3.294","41.2","5.9","35.3","5.9","11.8",".",".",".","",".",".","",".","",".",".",".",".","."
"Principles of Geochemistry","375","001","12","3.583","25.0","66.7","8.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics in Geology","376","001","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sedimentology and Stratigraphy","430","001","8","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Structural Geology","455","001","14","3.321","28.6","7.1","64.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Rock Mechanics","474","002","6","3.417","16.7","50.0","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Contaminant Hydrogeology","629","001","5","4.000","80.0",".",".",".",".",".",".",".","",".",".","",".","",".","20.0",".",".","."
"","682","007","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".","",".","50.0",".",".","."
"","682","028","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682","052","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","","Course Total","4","4.000","75.0",".",".",".",".",".",".",".","",".",".","",".","",".","25.0",".",".","."
"Senior Thesis","692","039","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","011","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699","039","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","","Course Total","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Groundwater Flow Modeling","724","001","2","4.000","50.0",".",".",".",".",".",".",".","",".",".","",".","",".","50.0",".",".","."
"Crystal Chemistry","765","001","2","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Electron Microprobe Anal","777","001","5","3.900","80.0","20.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","875","001","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","875","002","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","875","003","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","875","004","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","875","005","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","875","008","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Advanced Topics in Geology","","Course Total","26","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Seminar-Geochemistry","970","001","5","3.700","40.0","60.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
