"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"GNS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","","5","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","9","3.232","55.6","22.2",".",".","11.1","",".","11.1",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","23","3.557","65.2","4.3","13.0","4.3","8.7","",".",".","4.3","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","38","3.505","63.2","10.5","10.5","2.6","7.9","",".","2.6","2.6","",".",".","",".","",".","",".",".",".","."
"Special","","","1","***","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","","8","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","47","3.615","70.2","8.5","8.5","2.1","6.4","",".","2.1","2.1","",".",".","",".","",".","",".",".",".","."
