"Summary by Level","#","","Ave","A","AB","","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"OBS&GYN","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Sophomore","","2","***","","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","8","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","28","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","40","4.000","100.0","",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","68","4.000","66.2","",".","",".","",".","",".","",".","",".","33.8","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","18","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","21","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Professionals","","39","",".","",".","",".","",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
