"LAW","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","",""
"Intro to American Law","601
001","8","1.714","37.5",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","12.5","."
"Legal Sources","602
001","7","1.571","28.6",".","14.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","715
001","89","1.382","13.5",".","23.6",".","6.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","715
002","88","1.398","10.2",".","23.9",".","13.6",".",".",".","",".",".","",".","",".",".",".",".","."
"","003
715","92","0.511","3.3",".","12.0",".","1.1",".","1.1",".","",".",".","",".","",".",".",".",".","."
"Torts I","Course Total","269","1.089","8.9",".","19.7",".","7.1",".","0.4",".","",".",".","",".","",".",".",".",".","."
"Contracts II","721
001","22","1.886","31.8",".","18.2",".",".",".",".",".","",".",".","",".","",".","4.5",".",".","."
"","001
723","19","1.158","5.3",".","31.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
002","17","1.471","5.9",".","41.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
003","20","1.250","15.0",".","15.0",".","10.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
004","18","1.222","5.6",".","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
005","20","1.350","5.0",".","35.0",".","5.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
006","19","0.632",".",".","21.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
007","18","1.556","5.6",".","44.4",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
008","18","1.000",".",".","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
009","20","1.450","10.0",".","35.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
010","18","0.667",".",".","22.2",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
011","20","1.150","10.0",".","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
012","19","1.579",".",".","52.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","723
013","20","1.579","5.0",".","40.0",".","5.0",".",".",".","",".",".","",".","",".","5.0",".",".","."
"","723
014","20","1.100","5.0",".","30.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Legal Research and Writing","Course Total","266","1.226","5.3",".","32.7",".","1.5",".",".",".","",".",".","",".","",".","0.4",".",".","."
"","724
001","91","1.538","12.1",".","33.0",".","3.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","724
002","88","1.125","9.1",".","25.0",".",".","1.1","1.1",".","",".",".","",".","",".",".",".",".","."
"","724
003","96","1.250","11.5",".","22.9",".","5.2",".",".",".","",".",".","",".","",".",".",".",".","."
"Property","Course Total","275","1.305","10.9",".","26.9",".","2.9","0.4","0.4",".","",".",".","",".","",".",".",".",".","."
"","725
001","80","1.083","11.3","1.3","13.8",".","6.3","2.5",".","2.5","",".",".","",".","",".",".",".",".","."
"","725
002","107","1.184","6.5",".","28.0",".","1.9",".","0.9","3.7","",".",".","",".","",".",".",".",".","."
"Intro to Criminal Procedure","Course Total","187","1.141","8.6","0.5","21.9",".","3.7","1.1","0.5","3.2","",".",".","",".","",".",".",".",".","."
"","731
001","56","0.488","3.6","1.8",".",".","12.5","1.8","1.8","1.8","",".",".","",".","",".",".",".","1.8","."
"","731
002","43","1.047","14.0",".","11.6",".","7.0",".",".",".","",".",".","",".","",".",".",".",".","."
"Constitutional Law I","Course Total","99","0.735","8.1","1.0","5.1",".","10.1","1.0","1.0","1.0","",".",".","",".","",".",".",".","1.0","."
"Constitutional Law II","001
740","92","0.554","4.3",".","8.7",".","3.3",".",".","9.8","",".",".","",".","",".",".",".",".","."
"Taxation I","742
001","61","1.216","9.8",".","19.7",".","1.6",".",".","16.4","",".",".","",".","",".",".",".",".","."
"","743
001","12","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","743
002","12","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","743
003","12","",".",".",".",".",".",".",".","83.3","",".",".","",".","",".",".",".",".","16.7"
"","743
004","12","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","743
005","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","743
006","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Negotiations","Course Total","51","",".",".",".",".",".",".",".","96.1","",".",".","",".","",".",".",".",".","3.9"
"Administrative Law","744
001","42","1.000","4.8",".","21.4",".","7.1",".",".","2.4","",".",".","",".","",".",".",".",".","."
"Trademarks","749
001","30","1.964","16.7",".","36.7",".","3.3",".",".","6.7","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 351 of 454",""
