"GERMAN, NORDIC, AND SLAVIC Section","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"425
GNS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cultures of Sustainability CEN","210
001","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Topics in GNS","270
001","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Second Semester Kazakh","332
001","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Second Semester Turkish","340
001","","4","3.750","50.0","50.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Topics in GNS","370
001","","10","3.450","70.0","10.0","10.0",".",".","",".","10.0",".","",".",".","",".","",".","",".",".",".","."
"Philosophy, Theory, Criticism","375
001","","12","3.182","33.3","8.3","25.0","8.3","16.7","",".",".","8.3","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Kazakh","432
001","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Turkish","440
001","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","471
001","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","471
002","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Adv Tpcs in E Eu & Cen As L&C","Course Total","","5","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Sixth Semester Turkish & Azeri","540
001","","5","3.600","80.0",".",".",".","20.0","",".",".",".","",".",".","",".","",".","",".",".",".","."
"GNS
425","Dept. Total","","47","3.615","70.2","8.5","8.5","2.1","6.4","",".","2.1","2.1","",".",".","",".","",".","",".",".",".","."
