"OPERATIONS & TECHNOLOGY M Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","","","","","",""
"","300
001","120","3.058","17.5","25.8","26.7","14.2","14.2","1.7",".",".","",".",".","",".","",".","",".",".",".","."
"","002
300","126","3.000","15.9","25.4","28.6","12.7","13.5","3.2","0.8",".","",".",".","",".","",".","",".",".",".","."
"","300
003","109","2.968","10.1","29.4","30.3","15.6","11.9",".","2.8",".","",".",".","",".","",".","",".",".",".","."
"","300
004","84","2.881","8.3","20.2","33.3","17.9","19.0","1.2",".",".","",".",".","",".","",".","",".",".",".","."
"Operations Management","Course Total","439","2.985","13.4","25.5","29.4","14.8","14.4","1.6","0.9",".","",".",".","",".","",".","",".",".",".","."
"Contemporary Topics","365
001","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","421
001","11","3.636","63.6","9.1","18.2","9.1",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","421
002","10","3.550","20.0","70.0","10.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","21","3.595","42.9","38.1","14.3","4.8",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Procurement and Supply Mgmt","423
001","9","3.389","44.4","22.2","11.1","11.1","11.1",".",".",".","",".",".","",".","",".","",".",".",".","."
"","427
001","9","3.722","66.7","11.1","22.2",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","427
002","10","3.800","60.0","40.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Info Tech in Supply Chains","Course Total","19","3.763","63.2","26.3","10.5",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Project Management","452
001","17","3.529","41.2","35.3","17.6",".","5.9",".",".",".","",".",".","",".","",".","",".",".",".","."
"Production Planning&Control","654
001","7","3.857","71.4","28.6",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","700
030","30","3.567","43.3","26.7","30.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","700
050","57","3.868","77.2","21.1",".","1.8",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Operations Management","Course Total","87","3.735","65.5","23.0","10.3","1.1",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Product Management","701
001","33","3.576","39.4","39.4","18.2","3.0",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Supply Chain Analytics","714
001","64","3.719","53.1","39.1","6.3","1.6",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Strategic Global Sourcing","724
001","15","3.700","40.0","60.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Info Tech in Supply Chains","727
001","25","3.780","64.0","28.0","8.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","732
020","42","3.631","50.0","28.6","19.0","2.4",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","732
021","39","3.551","30.8","48.7","20.5",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","732
022","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Economics for Managers","Course Total","82","3.591","40.2","39.0","19.5","1.2",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Healthcare Ops Mgt","753
030","10","3.700","50.0","40.0","10.0",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Manage Tech & Organztnl Change","758
001","28","3.875","75.0","25.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","765
040","23","3.870","73.9","26.1",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","765
041","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","39","3.923","84.6","15.4",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
149","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","990
139","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"Read&Rsch-Oper&Info Mgt PhD","999
145","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
