"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","","",""
"Computer Graphics","559
001","179","3.159","24.0","31.8","22.3","11.2","5.6","2.2","2.8",".","",".",".","",".","",".",".",".",".","."
"","564
001","116","3.274","29.3","27.6","25.9","9.5","3.4","2.6","0.9",".","",".",".","",".","",".","0.9",".",".","."
"","564
002","117","3.372","32.5","25.6","29.9","9.4","1.7","0.9",".",".","",".",".","",".","",".",".",".",".","."
"Database Mgt Systems","Course Total","233","3.323","30.9","26.6","27.9","9.4","2.6","1.7","0.4",".","",".",".","",".","",".","0.4",".",".","."
"Intro to Humn-Comp Interaction","570
001","192","3.826","80.2","13.0","2.6","3.1",".","0.5","0.5",".","",".",".","",".","",".",".",".",".","."
"Building User Interfaces","571
001","104","3.515","47.1","28.8","6.7","8.7","6.7",".",".","1.0","",".",".","",".","",".",".",".","1.0","."
"","577
001","175","2.823","12.0","14.9","26.9","24.0","20.6","0.6","1.1",".","",".",".","",".","",".",".",".",".","."
"","577
002","233","3.058","20.6","21.0","33.5","13.7","6.4","2.1","2.6",".","",".",".","",".","",".",".",".",".","."
"Introduction to Algorithms","Course Total","408","2.957","16.9","18.4","30.6","18.1","12.5","1.5","2.0",".","",".",".","",".","",".",".",".",".","."
"Virtual Reality","579
001","88","3.807","76.1","12.5","9.1","1.1","1.1",".",".",".","",".",".","",".","",".",".",".",".","."
"User Experience Design 2","612
002","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","638
001","6","3.833","83.3",".","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","638
002","11","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","638
003","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","638
004","8","3.813","87.5",".",".","12.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","638
005","11","3.818","72.7","18.2","9.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Undergrad Topics-Computing","Course Total","40","3.888","87.5","5.0","5.0","2.5",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","639
001","35","3.586","51.4","25.7","17.1",".","5.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","639
002","18","3.722","61.1","22.2","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"UG Elective Topic in Computing","Course Total","53","3.632","54.7","24.5","17.0",".","3.8",".",".",".","",".",".","",".","",".",".",".",".","."
"","001
640","158","3.183","28.5","19.0","25.9","13.3","10.8","1.3",".","1.3","",".",".","",".","",".",".",".",".","."
"","640
010","36","3.444","38.9","33.3","11.1","11.1","5.6",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Computer Networks","Course Total","194","3.232","30.4","21.6","23.2","12.9","9.8","1.0",".","1.0","",".",".","",".","",".",".",".",".","."
"","681
010","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","681
148","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","681
161","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","100.0","."
"","681
166","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","681
168","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"Senior Honors Thesis","Course Total","5","",".",".",".",".",".",".",".",".","",".",".","",".","80.0","",".",".","20.0","."
"","682
022","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682
124","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682
145","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","682
168","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","Course Total","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
005","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
010","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
011","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
012","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
018","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
029","8","3.850","87.5",".","12.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
101","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
111","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
124","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
