"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"","990
167","1","",".",".",".",".","",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Research","Course Total","46","",".",".",".",".","",".",".","",".","91.3","",".",".","",".","8.7","",".",".",".","."
"ONCOLOGY
700","Dept. Total","158","3.748","39.2","5.1","5.7","1.3","",".","0.6","",".","45.6","",".",".","",".","2.5","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"700
ONCOLOGY","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","2","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","4","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","","8","3.929","87.5",".","12.5",".","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","31","3.935","83.9","12.9","3.2",".","",".",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","45","3.884","82.2","8.9","6.7",".","",".","2.2","",".",".","",".",".","",".",".","",".",".",".","."
"Special","","7","",".",".",".",".","",".",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Graduate","","105","3.619","23.8","2.9","5.7","1.9","",".",".","",".","61.9","",".",".","",".","3.8","",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"","Dept. Total","158","3.748","39.2","5.1","5.7","1.3","",".","0.6","",".","45.6","",".",".","",".","2.5","",".",".",".","."
