"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","","","","","",""
"","427
001","27","3.611","33.3","55.6","11.1",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","427
002","35","3.700","45.7","48.6","5.7",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Info Tech in Supply Chains","Course Total","62","3.661","40.3","51.6","8.1",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Strategic Pricing","430
001","18","3.583","22.2","72.2","5.6",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"New Product Innovation","437
001","38","3.974","94.7","5.3",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","445
001","7","3.857","71.4","28.6",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","445
002","8","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","445
003","16","3.563","56.3","18.8","12.5","6.3","6.3","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Digital Marketing Analytics","Course Total","31","3.742","71.0","16.1","6.5","3.2","3.2","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing Analytics","450
001","10","3.550","20.0","70.0","10.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","460
001","39","3.295","17.9","38.5","30.8","10.3","2.6","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","460
002","42","3.512","33.3","45.2","14.3","4.8","2.4","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","460
003","36","3.389","16.7","50.0","27.8","5.6",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing Strategy","Course Total","117","3.402","23.1","44.4","23.9","6.8","1.7","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing Management","700
050","57","3.614","49.1","29.8","17.5","1.8","1.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Consumer Behavior","705
040","16","3.844","68.8","31.3",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing Communications","715
001","31","3.855","71.0","29.0",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Strategic Global Sourcing","724
001","14","3.500","14.3","71.4","14.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing Channel Strategy","725
001","19","3.816","78.9","5.3","15.8",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Info Tech in Supply Chains","727
001","23","3.696","43.5","52.2","4.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Strategic Pricing","730
001","4","3.250",".","25.0","25.0",".",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"Brand Strategy","735
030","42","3.750","54.8","40.5","4.8",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"New Product Innovation","737
001","34","3.897","79.4","20.6",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","745
002","22","3.750","68.2","9.1","9.1",".","4.5","",".","",".",".","",".",".","",".","",".","",".",".","9.1","."
"","745
003","7","3.643","57.1","28.6",".","14.3",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Digital Marketing Analytics","Course Total","29","3.722","65.5","13.8","6.9","3.4","3.4","",".","",".",".","",".",".","",".","",".","",".",".","6.9","."
"","755
001","37","3.865","78.4","16.2","5.4",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","755
002","21","3.881","81.0","14.3","4.8",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing in a Digital Age","Course Total","58","3.871","79.3","15.5","5.2",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","765
001","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","765
002","20","3.725","75.0",".","20.0","5.0",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","765
003","33","3.833","78.8","12.1","6.1","3.0",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","765
005","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","63","3.867","81.0","6.3","9.5","3.2",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing Consulting Practicum","770
001","17","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","815
001","21","3.525","28.6","42.9","23.8",".",".","",".","",".","4.8","",".",".","",".","",".","",".",".",".","."
"","815
002","30","3.467","23.3","46.7","30.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Marketing Analytics","Course Total","51","3.490","25.5","45.1","27.5",".",".","",".","",".","2.0","",".",".","",".","",".","",".",".",".","."
"Current Topics - Mkt Analytics","840
001","9","3.944","88.9","11.1",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Seminar-Marketing PhD","972
001","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","990
006","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","Page 62 of 454"
