"","990
037","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
038","1","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
076","2","",".",".",".",".",".",".",".","50.0","",".",".","",".","50.0",".",".",".","."
"Research and Thesis","Course Total","6","",".",".",".",".",".",".",".","66.7","",".",".","",".","33.3",".",".",".","."
"E M A
346","Dept. Total","1029","3.083","29.3","24.2","17.8","10.9","8.3","5.4","1.7","1.5","",".",".","",".","0.4","0.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","44","2.593","13.6","20.5","9.1","18.2","25.0","4.5","6.8",".","",".",".","",".",".","2.3",".",".","."
"Sophomore","","304","3.008","23.0","30.3","17.4","12.8","5.3","8.6","2.6",".","",".",".","",".",".",".",".",".","."
"Junior","","324","3.099","31.8","25.0","17.9","9.3","9.6","5.9","0.6",".","",".",".","",".",".",".",".",".","."
"Senior","","271","3.116","32.1","19.2","21.8","11.1","9.6","3.3","1.5",".","",".",".","",".",".","1.5",".",".","."
"Undergraduates","","943","3.048","28.2","24.8","18.5","11.3","8.9","5.9","1.8",".","",".",".","",".",".","0.5",".",".","."
"Special","","11","3.100","18.2","18.2","27.3","18.2","9.1",".",".","9.1","",".",".","",".",".",".",".",".","."
"Graduate","","75","3.673","45.3","17.3","8.0","4.0",".",".",".","18.7","",".",".","",".","5.3","1.3",".",".","."
"","Dept. Total","1029","3.083","29.3","24.2","17.8","10.9","8.3","5.4","1.7","1.5","",".",".","",".","0.4","0.6",".",".","."
