"CELL AND REGENERATIVE BIOL Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"625
001
Stem Cell Seminar","","26","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"640
002
Fund Stem Cell Regen Biol","","22","3.705","","59.1","","22.7","","18.2",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"650
001
Molecular & Cell Organogenesis","","12","3.708","","58.3","","25.0","","16.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
002","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
003","","3","3.875","","66.7","","33.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
005","","2","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
008","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
009","","2","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
014","","3","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
016","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
018","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
019","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
020","","2","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
021","","4","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
022","","2","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Course Total
Independent Study","","23","3.985","","95.7","","4.3","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"701
001
Cell Signals and Human Disease","","7","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"820
001
Biotechnology Operations","","26","3.625","","23.1","","69.2","",".",".","",".","",".","",".",".","",".",".","",".","",".","","3.8",".","3.8","."
"824
001
Molecular Technologies II","","26","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"842
001
Bus Biotech: Sustaining Growth","","22","3.773","","59.1","","36.4","","4.5",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"843
001
Project Mgmt & Leadership","","26","3.740","","50.0","","42.3","","3.8",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","3.8","."
"844
001
Adv Biotech: Global Perspectvs","","22","3.682","","36.4","","63.6","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"845
001
Pro Dvlpmt & Effective Mgmt","","22","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"846
001
Biotechnology Capstone","","22","3.136","","18.2","","31.8","","18.2","22.7","","9.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"990
001","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
002","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
007","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
012","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
014","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
017","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
019","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
020","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
021","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
030","","2","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","100.0","."
"990
031","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".","100.0","."
"990
040","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Course Total
Research and Thesis","","19","","",".","",".","",".",".","",".","",".","",".","84.2","",".",".","",".","",".","",".",".","15.8","."
