"PLANT PATHOLOGY","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"766
PL PATH","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Plants, Parasites, & People","123
001","46
3.633","52.2","","23.9","","17.4","4.3","",".","",".","",".",".","",".",".","",".",".","","2.2",".",".","."
"","154
001","24
3.979","95.8","","4.2","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","154
002","24
3.917","87.5","","8.3","","4.2",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Antibiotic Discovery Research","Course Total","48
3.948","91.7","","6.3","","2.1",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","299
002","3
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","299
007","4
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","299
011","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Independent Study","Course Total","8
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Plant Microbiomes","315
001","47
3.598","44.7","","34.0","","12.8","6.4","",".","",".","",".",".","",".",".","",".",".","","2.1",".",".","."
"Fungi","332
001","5
3.500","40.0","","40.0","",".","20.0","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Biology of the Fungi","333
001","3
3.333","33.3","","33.3","",".","33.3","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Intro to Organic Agriculture","367
001","11
3.833","54.5","","27.3","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","18.2","."
"Ind Study - Organic Agr","499
001","2
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Plant-Microbe Interactions","505
001","10
3.444","30.0","","20.0","","40.0",".","",".","",".","",".","10.0","",".",".","",".",".","",".",".",".","."
"","699
007","2
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699
008","1
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699
022","2
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","699
027","3
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special Problems","Course Total","8
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Pract-Plant Pathology Tchg","799
007","2
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Special Topics","875
001","7
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Seminar","923
001","9
4.000","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"","990
002","3",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
003","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
004","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
005","4",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
006","5",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
007","4",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
008","4",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
009","1",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"","990
011","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
013","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
016","2",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
022","1",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
027","3",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
039","3",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
040","5",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"Research","Course Total","42",".","",".","",".",".","",".","",".","",".","31.0","",".",".","",".","69.0","",".",".",".","."
