"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","",""
"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","","","",""
"Survey of Contemporary Media","250","001","208","2.973","17.3","28.8","23.6","13.0","9.1","2.9","4.3",".","0.5",".","",".","",".",".",".","0.5","."
"Communication & Human Behav","260","001","226","3.442","46.5","24.3","15.0","7.1","3.1","2.7","0.9",".",".",".","",".","",".",".","0.4",".","."
"Thry&Pract-Argument&Debate","262","001","99","3.745","77.8","12.1","5.1",".","1.0",".","3.0","1.0",".",".","",".","",".",".",".",".","."
"Intro-Interpersonal Com","272","001","147","3.183","28.6","25.2","23.1","7.5","6.8","3.4","2.0","1.4",".",".","",".","",".","2.0",".",".","."
"Film Comedy","300","001","101","3.129","16.8","38.6","14.9","15.8","5.0","4.0","1.0",".",".",".","",".","",".",".",".","4.0","."
"Topics: Film and Media Studies","313","001","20","3.575","65.0","15.0","10.0",".","5.0","5.0",".",".",".",".","",".","",".",".",".",".","."
"Rhetoric and Health","317","001","81","3.656","59.3","22.2","8.6","6.2","2.5",".",".","1.2",".",".","",".","",".",".",".",".","."
"Intro to Health Comm","318","001","68","3.552","60.3","11.8","16.2","5.9","1.5","1.5","1.5",".",".",".","",".","",".","1.5",".",".","."
"Media & Human Behavior","325","001","72","3.149","19.4","16.7","38.9","11.1","5.6","1.4",".","1.4",".",".","",".","",".","1.4","4.2",".","."
"Online Comm & Personal Rltnshp","345","001","99","3.359","29.3","41.4","18.2","4.0","3.0","3.0","1.0",".",".",".","",".","",".",".",".",".","."
"Critical Internet Studies","346","001","94","3.134","10.6","42.6","29.8","7.4","4.3","2.1","2.1",".",".",".","",".","",".","1.1",".",".","."
"Race, Ethnicity, and Media","347","001","58","3.017","15.5","41.4","19.0","10.3","3.4","5.2","5.2",".",".",".","",".","",".",".",".",".","."
"Introduction to Film","350","001","176","3.552","35.8","43.2","14.8","4.5","0.6",".",".","0.6",".",".","",".","",".","0.6",".",".","."
"Television Industries","351","001","82","2.920","18.3","31.7","23.2","8.5","3.7","6.1","7.3",".",".",".","",".","",".","1.2",".",".","."
"Intro to Media Production","355","001","133","3.444","30.8","43.6","20.3","1.5","1.5","0.8","1.5",".",".",".","",".","",".",".",".",".","."
"Sports Media","359","001","40","3.300","35.0","27.5","22.5","7.5","2.5","2.5","2.5",".",".",".","",".","",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","96","2.967","24.0","16.7","17.7","20.8","11.5","2.1","3.1",".",".",".","",".","",".","3.1",".","1.0","."
"Rhetoric-Campaign&Revolutn","372","001","158","3.564","59.5","23.4","8.2","1.9","1.3",".","4.4",".",".",".","",".","",".","1.3",".",".","."
"Topics in Digital Studies","377","001","24","3.625","45.8","37.5","12.5","4.2",".",".",".",".",".",".","",".","",".",".",".",".","."
"Gender Sexuality & the Media","418","001","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Critical Film Analysis","454","001","20","3.526","40.0","30.0","15.0","10.0",".",".",".",".",".",".","",".","",".","5.0",".",".","."
"Italian Film","460","001","47","3.787","68.1","23.4","6.4","2.1",".",".",".",".",".",".","",".","",".",".",".",".","."
"","465","001","15","3.467","26.7","40.0","33.3",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"","465","002","15","3.467","33.3","40.0","13.3","13.3",".",".",".",".",".",".","",".","",".",".",".",".","."
"Editing & Post-prod:Video&Film","","Course Total","30","3.467","30.0","40.0","23.3","6.7",".",".",".",".",".",".","",".","",".",".",".",".","."
"Writing for TV & Film","466","001","15","3.750","60.0","20.0","13.3",".",".",".",".",".",".",".","",".","",".","6.7",".",".","."
"Cinematography & Sound Rcrdng","467","001","15","3.733","46.7","53.3",".",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Contemp Political Discourse","470","001","42","3.775","59.5","31.0","2.4","2.4",".",".",".",".",".",".","",".","",".","4.8",".",".","."
"Am Film Inds-Studio Sys Era","556","001","26","3.283","50.0","11.5","11.5",".","7.7",".","7.7","7.7",".",".","",".","",".","3.8",".",".","."
"Communicatn in Complex Orgs","575","001","20","3.639","55.0","5.0","30.0",".",".",".",".",".",".",".","",".","",".","10.0",".",".","."
"Dynamics of Online Relatnshps","577","001","19","3.395","31.6","31.6","26.3","5.3","5.3",".",".",".",".",".","",".","",".",".",".",".","."
"Digital Studies Capstone","605","001","106","",".",".",".",".",".",".",".",".",".","98.1","",".","",".",".",".",".","."
"","609","001","16","3.531","56.3","18.8","6.3","12.5","6.3",".",".",".",".",".","",".","",".",".",".",".","."
"","609","002","17","3.559","23.5","64.7","11.8",".",".",".",".",".",".",".","",".","",".",".",".",".","."
"Special Topics in Production","","Course Total","33","3.545","39.4","42.4","9.1","6.1","3.0",".",".",".",".",".","",".","",".",".",".",".","."
"Topics-Communicatn Science","612","001","12","3.818","83.3",".",".",".","8.3",".",".",".",".",".","",".","",".","8.3",".",".","."
"","613","001","10","3.222","10.0","40.0","20.0","20.0",".",".",".",".",".",".","",".","",".","10.0",".",".","."
"","613","002","19","3.500","21.1","31.6","21.1",".",".",".",".","15.8",".",".","",".","",".",".",".","10.5","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 204 of 454",""
