"ART DEPARTMENT","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","","","",""
"","112
005","","16","3.875","81.3","12.5","6.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","112
006","","18","3.833","83.3","11.1",".",".","5.6",".",".",".","",".",".","",".","",".",".",".",".","."
"Drawing I","Course Total","","99","3.869","84.8","12.1","1.0",".","1.0",".","1.0",".","",".",".","",".","",".",".",".",".","."
"","176
001","","15","3.967","93.3","6.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","176
002","","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","176
003","","16","3.750","68.8","12.5","18.8",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","176
004","","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","","62","3.927","90.3","4.8","4.8",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Current Directions in Art","208
001","","108","3.825","85.2","6.5","1.9","1.9","0.9",".","1.9",".","",".",".","",".","",".",".",".","1.9","."
"","212
001","","15","3.767","73.3","6.7","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","002
212","","16","3.750","81.3","12.5",".",".",".","6.3",".",".","",".",".","",".","",".",".",".",".","."
"","212
003","","15","3.867","93.3",".",".",".","6.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","212
004","","9","3.333","33.3","33.3","11.1","11.1","11.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Drawing Methods & Concepts","Course Total","","55","3.718","74.5","10.9","7.3","1.8","3.6","1.8",".",".","",".",".","",".","",".",".",".",".","."
"","214
001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","214
002","","7","3.929","85.7","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sculpture I","Course Total","","19","3.895","84.2","10.5","5.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","222
001","","18","3.969","83.3","5.6",".",".",".",".",".",".","",".",".","",".","",".","11.1",".",".","."
"","222
002","","17","3.941","94.1",".","5.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Introduction to Painting","Course Total","","35","3.955","88.6","2.9","2.9",".",".",".",".",".","",".",".","",".","",".","5.7",".",".","."
"","224
001","","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","224
002","","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","224
003","","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","224
004","","12","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Ceramics I","Course Total","","59","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Textile Design: Weaving I","229
001","","2","3.500","50.0",".","50.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Life Drawing I","232
001","","11","3.700","63.6","18.2",".",".","9.1",".",".",".","",".",".","",".","",".",".","9.1",".","."
"Watercolor I","242
002","","13","4.000","92.3",".",".",".",".",".",".",".","",".",".","",".","",".","7.7",".",".","."
"","244
001","","12","3.955","83.3","8.3",".",".",".",".",".","8.3","",".",".","",".","",".",".",".",".","."
"","244
002","","13","3.923","84.6","15.4",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Art Metal I","Course Total","","25","3.938","84.0","12.0",".",".",".",".",".","4.0","",".",".","",".","",".",".",".",".","."
"Color","302
001","","9","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Relief Printmaking","306
001","","13","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","307
001","","16","3.813","75.0","12.5","12.5",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","307
002","","14","3.536","64.3","7.1","7.1","14.3","7.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Making Comics 1","Course Total","","30","3.683","70.0","10.0","10.0","6.7","3.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Digital Art and Code","309
001","","11","3.909","90.9",".","9.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intermediate Drawing I","312
001","","11","3.850","72.7","9.1","9.1",".",".",".",".",".","",".",".","",".","",".","9.1",".",".","."
"Sculpture II","314
001","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Lithography","316
001","","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intermediate Painting I","322
001","","12","3.958","91.7","8.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
