"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","","","","","","",""
"","100
001","11","3.500","45.5","36.4",".","9.1","9.1",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
002","12","3.417","50.0","33.3","8.3",".",".",".","8.3","",".","",".",".","",".","",".","",".",".",".","."
"","100
003","13","3.538","69.2","7.7","7.7","7.7",".","7.7",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
004","13","3.538","69.2","15.4","7.7",".",".",".","7.7","",".","",".",".","",".","",".","",".",".",".","."
"","100
005","15","3.767","80.0","6.7","6.7",".","6.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
006","14","3.714","78.6","7.1",".","7.1","7.1",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
007","15","3.267","53.3","26.7",".",".","6.7","6.7","6.7","",".","",".",".","",".","",".","",".",".",".","."
"","100
008","15","3.867","80.0","13.3","6.7",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
009","15","3.700","60.0","33.3",".",".","6.7",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
010","15","3.767","73.3","13.3","6.7","6.7",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
011","14","3.679","85.7",".",".","7.1",".","7.1",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
012","16","3.750","62.5","25.0","12.5",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
013","13","3.462","69.2","15.4",".",".",".","15.4",".","",".","",".",".","",".","",".","",".",".",".","."
"","014
100","16","3.750","81.3","12.5",".",".",".","6.3",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
015","15","3.500","73.3","6.7","6.7",".","6.7",".","6.7","",".","",".",".","",".","",".","",".",".",".","."
"","100
016","15","3.733","86.7",".","6.7",".",".","6.7",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
017","13","3.731","76.9",".","15.4","7.7",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
018","14","3.536","78.6","7.1",".",".","7.1",".","7.1","",".","",".",".","",".","",".","",".",".",".","."
"","100
019","16","3.750","68.8","12.5","18.8",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","100
020","15","3.867","86.7","6.7",".","6.7",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Science and Storytelling","Course Total","285","3.649","71.9","13.7","5.3","2.5","2.5","2.5","1.8","",".","",".",".","",".","",".","",".",".",".","."
"Sci Comm First-Year Seminar","155
001","14","3.679","71.4","21.4",".",".",".","7.1",".","",".","",".",".","",".","",".","",".",".",".","."
"","212
001","19","3.816","73.7","15.8","10.5",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","212
002","20","3.600","75.0","5.0","5.0","5.0","5.0","5.0",".","",".","",".",".","",".","",".","",".",".",".","."
"Intro-Scientific Communication","Course Total","39","3.705","74.4","10.3","7.7","2.6","2.6","2.6",".","",".","",".",".","",".","",".","",".",".",".","."
"Rsrch Mthd: Commun Indstry","001
250","78","3.506","50.0","21.8","14.1","10.3","2.6","1.3",".","",".","",".",".","",".","",".","",".",".",".","."
"Print&Electronic Media Dsgn","332
001","24","3.729","70.8","12.5","12.5",".","4.2",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Information Radio","360
001","15","3.833","73.3","20.0","6.7",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","375
001","19","3.917","78.9","15.8",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","5.3"
"","375
002","29","3.862","82.8","10.3","3.4","3.4",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Special Topics","Course Total","48","3.883","81.3","12.5","2.1","2.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","2.1"
"Coord Intrnshp/Cooprtv Educ","399
003","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","34","3.706","73.5","11.8","2.9","5.9","5.9",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Photography for the Sciences","450
001","31","3.839","90.3","6.5",".",".",".",".","3.2","",".","",".",".","",".","",".","",".",".",".","."
"Ag Marketing NAMA","477
001","11","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Social Marketing of Sciences","515
001","21","3.905","85.7","9.5","4.8",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Web Design for the Sciences","532
001","16","3.781","75.0","12.5","6.3","6.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Writing Science for the Public","561
001","17","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","617
001","7","3.857","71.4","28.6",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","617
002","11","3.727","72.7","18.2",".",".","9.1",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","617
003","3","3.833","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Hlth Communication-Info Age","Course Total","21","3.786","71.4","23.8",".",".","4.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
