"Summary by Level","#","Ave","A","AB","B","BC","","C","","D","","F","S","","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"INTEGART","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Junior","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","7","2.731","57.1","14.3","14.3","",".","",".","",".","14.3","",".","",".",".",".",".",".",".",".","."
"Special","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","3","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
11","3.280","63.6","18.2","9.1","",".","",".","",".","9.1","",".","",".",".",".",".",".",".",".","."
