"COMPUTER SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"266
COMP SCI","","","","","","","","","","","","","","","","","","","","","",""
"","354
001","161","2.863","18.6","16.8","29.2","11.8","13.7","6.8","2.5",".","",".",".","",".","",".","0.6",".",".","."
"","354
002","173","3.049","22.0","23.1","26.6","14.5","7.5","3.5","2.3",".","",".",".","",".","",".","0.6",".",".","."
"","354
003","103","2.935","21.4","24.3","22.3","9.7","9.7","3.9","5.8",".","",".",".","",".","",".","2.9",".",".","."
"","354
010","37","3.311","32.4","18.9","40.5","5.4",".",".","2.7",".","",".",".","",".","",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","474","2.982","21.5","20.9","27.6","11.8","9.5","4.4","3.2",".","",".",".","",".","",".","1.1",".",".","."
"","368
001","58","",".",".",".",".",".",".",".",".","",".","96.6","","3.4","",".",".",".",".","."
"","368
002","80","",".",".",".",".",".",".",".",".","",".","91.3","","8.8","",".",".",".",".","."
"","368
003","43","",".",".",".",".",".",".",".",".","",".","95.3","","4.7","",".",".",".",".","."
"","368
004","38","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"Learn a Programming Language","Course Total","219","",".",".",".",".",".",".",".",".","",".","95.0","","5.0","",".",".",".",".","."
"","400
001","182","3.250","30.8","20.3","33.0","9.9","2.7","1.6","1.6",".","",".",".","",".","",".",".",".",".","."
"","400
002","187","3.360","39.0","18.2","30.5","6.4","2.1","2.7","0.5",".","",".",".","",".","",".","0.5",".",".","."
"","400
004","183","3.148","26.8","18.6","31.7","12.0","6.0","3.8","0.5",".","",".",".","",".","",".",".",".","0.5","."
"Programming III","Course Total","552","3.254","32.2","19.0","31.7","9.4","3.6","2.7","0.9",".","",".",".","",".","",".","0.2",".","0.2","."
"Introducing Comp Sci to K-12","402
001","27","3.944","88.9","11.1",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Internship Class CS & Data Sci","403
001","18","3.750","55.6","38.9","5.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","435
001","33","3.197","30.3","30.3","21.2","3.0","9.1","3.0","3.0",".","",".",".","",".","",".",".",".",".","."
"","435
002","41","3.354","39.0","22.0","22.0","14.6",".",".","2.4",".","",".",".","",".","",".",".",".",".","."
"Introduction to Cryptography","Course Total","74","3.284","35.1","25.7","21.6","9.5","4.1","1.4","2.7",".","",".",".","",".","",".",".",".",".","."
"","475
001","25","2.729","28.0",".","20.0","12.0","28.0","4.0","4.0",".","",".",".","",".","",".",".",".",".","4.0"
"","475
002","21","3.286","38.1","14.3","28.6","4.8","14.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","475
004","18","2.861","27.8","5.6","27.8","11.1","16.7","11.1",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Combinatorics","Course Total","64","2.952","31.3","6.3","25.0","9.4","20.3","4.7","1.6",".","",".",".","",".","",".",".",".",".","1.6"
"CS Education","502
001","17","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Numerical Linear Algebra","513
001","26","2.820","15.4","26.9","11.5","23.1","7.7","7.7","3.8",".","",".",".","",".","",".","3.8",".",".","."
"Intro to Theory of Computing","520
001","36","3.157","22.2","19.4","41.7","5.6","5.6",".","2.8",".","",".",".","",".","",".",".",".",".","2.8"
"Introduction to Optimization","524
001","76","3.420","40.8","27.6","14.5","10.5","3.9",".","1.3",".","",".",".","",".","",".","1.3",".",".","."
"Linear Optimization","525
001","21","3.100","28.6","14.3","19.0","14.3","19.0",".",".",".","",".",".","",".","",".",".",".",".","4.8"
"","532
001","28","3.815","85.7","7.1",".",".",".",".","3.6","3.6","",".",".","",".","",".",".",".",".","."
"","532
002","81","3.557","54.3","18.5","13.6","8.6",".","2.5",".","1.2","",".",".","",".","",".",".",".","1.2","."
"Mtrx Mthds in Machine Learning","Course Total","109","3.623","62.4","15.6","10.1","6.4",".","1.8","0.9","1.8","",".",".","",".","",".",".",".","0.9","."
"Intro-Progm Langs&Compilers","536
001","119","3.182","28.6","30.3","17.6","10.9","5.9","3.4","2.5",".","",".",".","",".","",".",".","0.8",".","."
"","537
001","278","3.367","38.5","33.5","9.7","6.8","7.2","1.4","1.8",".","",".",".","",".","",".","0.7",".",".","0.4"
"","537
002","116","3.228","39.7","27.6","10.3","7.8","7.8","1.7","5.2",".","",".",".","",".","",".",".",".",".","."
"","537
011","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Operating Systems","Course Total","395","3.327","38.7","31.9","9.9","7.1","7.3","1.5","2.8",".","",".",".","",".","",".","0.5",".",".","0.3"
"Intro-Artificl Neural Ntwrks","539
001","55","3.113","23.6","25.5","27.3","10.9","1.8","3.6","3.6","1.8","",".",".","",".","",".","1.8",".",".","."
"","540
001","70","3.586","52.9","21.4","20.0","4.3",".","1.4",".",".","",".",".","",".","",".",".",".",".","."
"","002
540","156","3.416","34.6","32.7","22.4","5.1","2.6","1.3","0.6",".","",".",".","",".","",".","0.6",".",".","."
"","540
003","151","3.331","31.1","29.1","27.2","7.9","2.6",".","2.0",".","",".",".","",".","",".",".",".",".","."
"Intro-Artificl Intelligence","Course Total","377","3.414","36.6","29.2","23.9","6.1","2.1","0.8","1.1",".","",".",".","",".","",".","0.3",".",".","."
"Intro-Computer Architecture","552
001","13","3.292","38.5","23.1","15.4",".","7.7","7.7",".",".","",".",".","",".","",".","7.7",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 212 of 454",""
