"ENGINEERING PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Research Proposal-Engr Physics","469
001","","1","3.500",".","100.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
002","","18","3.324","22.2","38.9","16.7","11.1","5.6","",".","",".","",".","",".",".","",".","",".","5.6",".",".","."
"Intro-Sci Comput for Engr Phys","476
001","","4","3.000","25.0",".","25.0",".","25.0","",".","",".","",".","",".",".","",".","",".","25.0",".",".","."
"Engineering Analysis II","548
001","","2","3.750","50.0","50.0",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Research Pract-Engr Physics I","568
001","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Research Pract-Engr Physics II","569
001","","3","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","602
001","","7","3.929","85.7","14.3",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","602
002","","8","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"","602
003","","13","3.958","84.6","7.7",".",".",".","",".","",".","",".","",".",".","",".","",".","7.7",".",".","."
"Special Topics in EP","Course Total","","28","3.963","89.3","7.1",".",".",".","",".","",".","",".","",".",".","",".","",".","3.6",".",".","."
"Vacuum Technology","777
001","","1","3.000",".",".","100.0",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"EP Graduate Seminar","920
001","","2","",".",".",".",".",".","",".","",".","",".","",".","100.0","",".","",".",".",".",".","."
"E P
347","Dept. Total","","62","3.570","59.7","17.7","8.1","3.2","3.2","",".","",".","",".","",".","3.2","",".","",".","4.8",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"347
E P","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","","9","3.583","55.6","22.2",".","11.1",".","",".","",".","",".","",".",".","",".","",".","11.1",".",".","."
"Senior","","","34","3.493","55.9","20.6","11.8","2.9","5.9","",".","",".","",".","",".",".","",".","",".","2.9",".",".","."
"Undergraduates","","","43","3.511","55.8","20.9","9.3","4.7","4.7","",".","",".","",".","",".",".","",".","",".","4.7",".",".","."
"Special","","","2","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","","17","3.722","64.7","11.8","5.9",".",".","",".","",".","",".","",".","11.8","",".","",".","5.9",".",".","."
"","Dept. Total","","62","3.570","59.7","17.7","8.1","3.2","3.2","",".","",".","",".","",".","3.2","",".","",".","4.8",".",".","."
