"CONSUMER SCIENCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Finc'l Life Skills Undergrads","111
001","163","3.865","89.6","6.1","1.8",".","0.6",".","1.8","",".","",".",".","",".","",".",".",".",".","."
"Consuming Happiness","173
001","123","3.765","66.7","21.1","4.9","3.3",".","0.8",".","",".","",".",".","",".","",".",".","3.3",".","."
"","201
001","52","3.817","84.6","5.8","1.9","3.8","3.8",".",".","",".","",".",".","",".","",".",".",".",".","."
"","201
002","145","3.724","73.8","11.0","5.5","6.9","2.1","0.7",".","",".","",".",".","",".","",".",".",".",".","."
"Consumer Insights","Course Total","197","3.749","76.6","9.6","4.6","6.1","2.5","0.5",".","",".","",".",".","",".","",".",".",".",".","."
"","250
001","123","3.793","82.1","7.3","3.3","1.6","5.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"","250
002","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Retail Leadership Symposium","Course Total","125","3.796","82.4","7.2","3.2","1.6","5.6",".",".","",".","",".",".","",".","",".",".",".",".","."
"","251
001","99","3.525","56.6","26.3","5.1","4.0","4.0","1.0","3.0","",".","",".",".","",".","",".",".",".",".","."
"","251
002","6","2.583","50.0","16.7",".",".",".",".","33.3","",".","",".",".","",".","",".",".",".",".","."
"Finc'l Svcs Leadership Sympos","Course Total","105","3.471","56.2","25.7","4.8","3.8","3.8","1.0","4.8","",".","",".",".","",".","",".",".",".",".","."
"Cons Fin Svcs Innovation","255
001","43","3.337","25.6","48.8","7.0","14.0","2.3",".","2.3","",".","",".",".","",".","",".",".",".",".","."
"Introduction to Retail","257
001","128","3.734","75.8","9.4","4.7","6.3","3.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"","275
001","85","3.412","21.2","48.2","23.5","5.9","1.2",".",".","",".","",".",".","",".","",".",".",".",".","."
"","275
002","93","3.452","39.8","37.6","10.8","7.5","1.1","1.1","2.2","",".","",".",".","",".","",".",".",".",".","."
"Consumer Finance","Course Total","178","3.433","30.9","42.7","16.9","6.7","1.1","0.6","1.1","",".","",".",".","",".","",".",".",".",".","."
"Consumer Analytics","301
001","39","3.308","33.3","38.5","10.3","7.7","5.1","2.6","2.6","",".","",".",".","",".","",".",".",".",".","."
"Finc'l Life Skills After Grad","321
001","187","3.859","86.6","5.3","2.7","2.1","1.6",".","0.5","","1.1","",".",".","",".","",".",".",".",".","."
"Financial Coaching","355
001","60","3.667","55.0","31.7","5.0","8.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","477
001","43","3.453","48.8","23.3","14.0","7.0","4.7",".","2.3","",".","",".",".","",".","",".",".",".",".","."
"","477
002","41","3.200","26.8","24.4","24.4","14.6","4.9",".","2.4","",".","",".",".","",".","",".",".","2.4",".","."
"The Consumer and the Market","Course Total","84","3.331","38.1","23.8","19.0","10.7","4.8",".","2.4","",".","",".",".","",".","",".",".","1.2",".","."
"Special Topics","501
001","13","3.692","53.8","30.8","15.4",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","555
001","71","3.479","28.2","52.1","14.1","1.4","2.8","1.4",".","",".","",".",".","",".","",".",".",".",".","."
"","555
002","48","3.552","35.4","54.2","4.2","2.1","2.1","2.1",".","",".","",".",".","",".","",".",".",".",".","."
"Consumer Strategy & Evaluation","Course Total","119","3.508","31.1","52.9","10.1","1.7","2.5","1.7",".","",".","",".",".","",".","",".",".",".",".","."
"Consumer Engagement Strategies","561
001","37","3.595","54.1","27.0","10.8",".","8.1",".",".","",".","",".",".","",".","",".",".",".",".","."
"The Global Consumer","562
001","44","3.512","29.5","43.2","22.7","2.3",".",".",".","",".","",".",".","",".","",".","2.3",".",".","."
"","564
001","45","3.011","22.2","24.4","15.6","17.8","15.6","4.4",".","",".","",".",".","",".","",".",".",".",".","."
"","002
564","32","2.953","21.9","25.0","21.9","9.4","12.5","6.3","3.1","",".","",".",".","",".","",".",".",".",".","."
"Retail Financial Analysis","Course Total","77","2.987","22.1","24.7","18.2","14.3","14.3","5.2","1.3","",".","",".",".","",".","",".",".",".",".","."
"Product Development Strategies","567
001","51","3.775","70.6","19.6","5.9","2.0","2.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"Consumer Policy","001
579","16","3.125","6.3","31.3","43.8","18.8",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Consumer Science Internship","601
001","34","3.691","70.6","17.6","2.9","2.9","2.9","2.9",".","",".","",".",".","",".","",".",".",".",".","."
"Retailing Internship","603
001","34","3.455","55.9","14.7","8.8","8.8","2.9","5.9",".","",".","",".",".","",".","",".","2.9",".",".","."
"Estate Plng for Fincl Planners","635
001","48","3.427","25.0","45.8","18.8","10.4",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","657
001","63","3.613","63.5","14.3","11.1","4.8","3.2",".","1.6","",".","",".",".","",".","",".","1.6",".",".","."
"","657
002","65","3.685","69.2","15.4","4.6","7.7","1.5","1.5",".","",".","",".",".","",".","",".",".",".",".","."
"Consumer Behavior","Course Total","128","3.650","66.4","14.8","7.8","6.3","2.3","0.8","0.8","",".","",".",".","",".","",".","0.8",".",".","."
"Household Risk Management","665
001","46","3.641","54.3","30.4","4.3","10.9",".",".",".","",".","",".",".","",".","",".",".",".",".","."
