"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","","","",""
"","360
023","19","3.895","78.9","21.1",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","360
024","17","3.618","41.2","47.1","5.9","5.9",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","360
025","16","3.406","31.3","25.0","37.5","6.3",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","360
026","18","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","360
027","18","3.556","27.8","61.1","5.6","5.6",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Workplace Communication","Course Total","469","3.634","46.7","41.8","8.1","1.9",".","0.4","0.9",".","",".",".","",".","",".","",".","0.2",".","."
"Contemporary Topics","365
001","36","3.778","83.3","8.3","2.8","2.8",".",".","2.8",".","",".",".","",".","",".","",".",".",".","."
"Prof Experience in Business","450
001","8","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","2","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"Machine Learning-BusAnalytics","656
001","32","3.453","34.4","37.5","15.6","9.4","3.1",".",".",".","",".",".","",".","",".","",".",".",".","."
"","710
020","42","3.655","71.4","9.5","4.8","7.1","7.1",".",".",".","",".",".","",".","",".","",".",".",".","."
"","710
021","39","3.808","74.4","17.9","5.1",".","2.6",".",".",".","",".",".","",".","",".","",".",".",".","."
"","710
022","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Ethics, Integrity and Society","Course Total","82","3.732","73.2","13.4","4.9","3.7","4.9",".",".",".","",".",".","",".","",".","",".",".",".","."
"","713
025","21","3.833","81.0","4.8","14.3",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","713
040","23","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Role of Business in Society","Course Total","44","3.920","90.9","2.3","6.8",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Consulting Practicum","725
020","81","3.698","50.6","38.3","11.1",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Experience in Business","750
001","4","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".","",".",".",".","."
"","765
010","59","3.983","98.3",".","1.7",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","765
011","46","3.932","87.0","4.3","4.3",".",".",".",".","4.3","",".",".","",".","",".","",".",".",".","."
"","765
030","37","3.459","24.3","43.2","32.4",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","765
040","16","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Contemporary Topics","Course Total","158","3.832","77.8","11.4","9.5",".",".",".",".","1.3","",".",".","",".","",".","",".",".",".","."
"","770
010","17","3.559","23.5","64.7","11.8",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","770
011","26","3.885","76.9","23.1",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","770
012","21","3.738","52.4","42.9","4.8",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","770
013","22","3.864","72.7","27.3",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Analytics Consulting Practicum","Course Total","86","3.779","59.3","37.2","3.5",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Panel Data Analysis","806
001","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Current Topics: Bus Analytics","840
010","80","3.963","96.3","2.5",".",".","1.3",".",".",".","",".",".","",".","",".","",".",".",".","."
