"REAL ESTATE & URBAN LAND E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","",""
"Contemporary Topics","765
003","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Commercial Real Estate Finance","770
002","9","3.722","66.7","11.1","22.2",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Applied RE Investment II","842
001","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Private RE Equity Investment 3","852
001","15","3.867","73.3","26.7",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Real Estate Research Seminar","978
001","5","",".",".",".",".",".",".",".","100.0","",".",".","",".",".",".",".",".","."
"","990
001","2","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"","990
142","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"PhD Thesis-Real Estate","Course Total","3","",".",".",".",".",".",".",".",".","",".",".","",".","100.0",".",".",".","."
"REAL EST
239","Dept. Total","1033","3.491","44.5","25.0","19.2","5.4","3.3","0.5","0.9","0.7","",".",".","",".","0.3","0.3",".",".","."
