"L&S","","","","","","","","","","","","","","","","","","","","","","","","","",""
"COMPARATIVE LITERATURE","Section","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","203
001","","20","3.525","25.0","60.0","10.0","5.0","",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"","203
002","","20","3.075","5.0","45.0","35.0","10.0","",".","",".","5.0","",".","",".",".","",".",".","",".",".",".","."
"Intro Cross-Cultrl Lit Form","Course Total","","40","3.300","15.0","52.5","22.5","7.5","",".","",".","2.5","",".","",".",".","",".",".","",".",".",".","."
"Problms in Comp Lit & Cultures","350
001","","16","3.938","87.5","12.5",".",".","",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Research and Thesis","990
022","","1","",".",".",".",".","",".","",".",".","",".","",".",".","",".","100.0","",".",".",".","."
"COMP LIT
260","Dept. Total","","57","3.482","35.1","40.4","15.8","5.3","",".","",".","1.8","",".","",".",".","",".","1.8","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"260
COMP LIT","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","6","3.167","16.7","33.3","16.7","33.3","",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","","17","3.176","17.6","41.2","29.4","5.9","",".","",".","5.9","",".","",".",".","",".",".","",".",".",".","."
"Junior","","","19","3.632","42.1","42.1","15.8",".","",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Senior","","","14","3.786","57.1","42.9",".",".","",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","","56","3.482","35.7","41.1","16.1","5.4","",".","",".","1.8","",".","",".",".","",".",".","",".",".",".","."
"Graduate","","","1","***","","","","","","","","","","","","","",".","",".","100.0","",".",".",".","."
"","Dept. Total","","57","3.482","35.1","40.4","15.8","5.3","",".","",".","1.8","",".","",".",".","",".","1.8","",".",".",".","."
