"","990
073","3","",".",".",".",".",".","",".","",".","33.3","",".",".","",".","66.7",".",".",".","."
"","990
075","1","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"","990
083","2","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Research","Course Total","38","",".",".",".",".",".","",".","",".","81.6","",".",".","",".","18.4",".",".",".","."
"PATH-BIO
703","Dept. Total","829","3.682","46.3","13.1","6.8","1.0","0.4","",".","",".","29.4","",".",".","",".","0.8","2.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"703
PATH-BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","3.719","50.0","50.0",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","11","3.946","81.8","9.1",".",".",".","",".","",".","9.1","",".",".","",".",".",".",".",".","."
"Senior","","27","3.803","74.1","14.8","11.1",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","44","3.825","72.7","18.2","6.8",".",".","",".","",".","2.3","",".",".","",".",".",".",".",".","."
"Special","","2","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Graduate","","52","4.000","34.6",".",".",".",".","",".","",".","51.9","",".",".","",".","13.5",".",".",".","."
"Prof Yr 1","","185","3.740","28.6","16.2","3.8","0.5",".","",".","",".","47.6","",".",".","",".",".","3.2",".",".","."
"Prof Yr 2","","380","3.559","41.3","16.1","11.3","1.8","0.8","",".","",".","25.5","",".",".","",".",".","3.2",".",".","."
"Prof Yr 3","","105","3.918","81.0","9.5","2.9",".",".","",".","",".","6.7","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","61","4.000","60.7",".",".",".",".","",".","",".","39.3","",".",".","",".",".",".",".",".","."
"Professionals","","731","3.662","45.4","13.8","7.3","1.1","0.4","",".","",".","29.5","",".",".","",".",".","2.5",".",".","."
"","Dept. Total","829","3.682","46.3","13.1","6.8","1.0","0.4","",".","",".","29.4","",".",".","",".","0.8","2.2",".",".","."
