"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH AS A SECOND LANGU","Section","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","","","",""
"ESL
351","Dept. Total","532","3.795","36.5","7.1","1.3","1.1","",".","",".","0.8","",".","",".","50.0","3.0","",".","",".","0.2",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","S","","U","","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","151","3.820","27.8","2.6","2.0",".","",".","",".","0.7","",".","",".","58.9","7.9","",".","",".",".",".","."
"Sophomore","","254","3.773","42.9","8.7","1.2","1.6","",".","",".","1.2","",".","",".","43.3","1.2","",".","",".",".",".","."
"Junior","","65","3.842","44.6","10.8","1.5","1.5","",".","",".",".","",".","",".","40.0",".","",".","",".","1.5",".","."
"Senior","","24","3.800","58.3","20.8",".","4.2","",".","",".",".","",".","",".","16.7",".","",".","",".",".",".","."
"Undergraduates","","494","3.795","39.3","7.7","1.4","1.2","",".","",".","0.8","",".","",".","46.4","3.0","",".","",".","0.2",".","."
"Special","","5","***","","","","","","","","","","","","","","80.0","20.0","",".","",".",".",".","."
"Graduate","","45","",".",".",".",".","",".","",".",".","",".","",".","100.0",".","",".","",".",".",".","."
"","Dept. Total","544","3.795","35.7","7.0","1.3","1.1","",".","",".","0.7","",".","",".","51.1","2.9","",".","",".","0.2",".","."
