"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"HIST SCI","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","22","3.545","45.5","40.9",".","4.5","9.1","",".","",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","46","3.756","58.7","30.4","8.7",".",".","",".","",".",".","",".",".","",".",".",".","2.2",".","."
"Junior","","31","3.700","51.6","32.3","12.9",".",".","",".","",".","3.2","",".",".","",".",".",".",".",".","."
"Senior","","42","3.878","76.2","19.0","2.4",".",".","",".","",".","2.4","",".",".","",".",".",".",".",".","."
"Undergraduates","","141","3.746","60.3","29.1","6.4","0.7","1.4","",".","",".","1.4","",".",".","",".",".",".","0.7",".","."
"Special","","22","",".",".",".",".",".","",".","",".","100.0","",".",".","",".",".",".",".",".","."
"Graduate","","29","3.930","48.3",".","3.4",".",".","",".","",".","24.1","",".",".","",".","10.3","10.3",".","3.4","."
"","Dept. Total","192","3.764","51.6","21.4","5.2","0.5","1.0","",".","",".","16.1","",".",".","",".","1.6","1.6","0.5","0.5","."
