"MICROBIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","","","","","","",""
"General Microbiology","101
001","279","3.000","23.3","12.5","36.2","8.2","13.6","","5.4","0.4","",".","",".",".","",".","",".",".","0.4",".","."
"","102
001","28","3.444","35.7","17.9","39.3","3.6",".","",".",".","",".","",".",".","",".","",".","3.6",".",".","."
"","102
002","39","3.462","41.0","23.1","25.6","7.7","2.6","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","102
003","39","3.421","46.2","10.3","35.9",".","2.6","",".","2.6","",".","",".",".","",".","",".","2.6",".",".","."
"","102
004","17","3.559","52.9","17.6","23.5",".","5.9","",".",".","",".","",".",".","",".","",".",".",".",".","."
"General Microbiology Lab","Course Total","123","3.459","43.1","17.1","31.7","3.3","2.4","",".","0.8","",".","",".",".","",".","",".","1.6",".",".","."
"","299
002","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
018","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
030","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
034","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
071","3","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
096","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
097","4","3.929","75.0","25.0",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Independent Study","Course Total","13","3.979","92.3","7.7",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Biology of Microorganisms","303
001","186","3.210","32.3","24.2","17.7","9.1","15.1","","1.1","0.5","",".","",".",".","",".","",".",".",".",".","."
"","304
001","38","3.224","21.1","18.4","50.0","5.3","5.3","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","304
002","33","3.364","33.3","12.1","48.5","6.1",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","304
003","28","3.411","32.1","25.0","39.3",".","3.6","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","304
004","39","3.145","20.5","10.3","51.3","7.7","7.7","",".",".","",".","",".",".","",".","",".","2.6",".",".","."
"Biology of Microorganisms Lab","Course Total","138","3.274","26.1","15.9","47.8","5.1","4.3","",".",".","",".","",".",".","",".","",".","0.7",".",".","."
"","305
001","16","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","305
002","13","3.885","84.6","7.7","7.7",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Critical Analyses-Microbiology","Course Total","29","3.948","93.1","3.4","3.4",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Microbiome-Plants/Anmls/Humans","335
001","48","3.438","43.8","22.9","18.8","10.4","2.1","","2.1",".","",".","",".",".","",".","",".",".",".",".","."
"Intro Disease Biology","345
001","107","3.788","68.2","24.3","2.8","2.8","0.9","",".",".","","0.9","",".",".","",".","",".",".",".",".","."
"Divrsty, Ecol&Evolutn-Microrg","450
001","54","3.208","16.7","29.6","40.7",".","11.1","",".",".","",".","",".",".","",".","",".",".",".","1.9","."
"Micro Genetics & Mol Machines","470
001","60","3.133","35.0","3.3","31.7","16.7","11.7","","1.7",".","",".","",".",".","",".","",".",".",".",".","."
"Soil Microbiology & Biochem","523
001","10","3.350","60.0","20.0",".","10.0",".","",".","10.0","",".","",".",".","",".","",".",".",".",".","."
"Physiol of Microorganisms","526
001","62","3.258","27.4","22.6","33.9","9.7","4.8","","1.6",".","",".","",".",".","",".","",".",".",".",".","."
"Topics in Biotechnology","545
001","69","3.912","89.9","5.8","1.4",".",".","","1.4",".","",".","",".",".","",".","",".",".",".","1.4","."
"","551
001","22","3.977","95.5","4.5",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","551
002","23","3.848","78.3","13.0","8.7",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","551
003","9","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","551
004","16","3.938","87.5","12.5",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Capstone Rsch Proj Microbio","Course Total","70","3.929","88.6","8.6","2.9",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Microbial Bioinformatics","657
001","54","3.815","85.2","7.4","3.7",".","1.9","",".","1.9","",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","682
043","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Senior Thesis","692
018","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
005","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
006","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
011","1","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","699
017","2","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 10 of 454"
