"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTERNATIONAL STUDIES","Section","#","","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to International Studies","101
001","","105","3.229","26.7","29.5","25.7","6.7","","9.5",".","1.9","",".","",".",".","",".",".","",".",".",".","."
"Intro to the Middle East","266
001","","23","3.239","43.5","21.7","21.7",".","",".","8.7","4.3","",".","",".",".","",".",".","",".",".",".","."
"","310
001","","14","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"","310
003","","5","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"","310
008","","5","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"","310
009","","3","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"","310
011","","5","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"","310
013","","3","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"","310
015","","8","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"","310
028","","4","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"","310
037","","4","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"","310
038","","3","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"Internl Learning Community Smr","Course Total","","54","",".",".",".",".","",".",".",".","",".","",".","100.0","",".",".","",".",".",".","."
"","320
001","","2","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"","320
002","","3","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Contemporary Issues-Intl St","Course Total","","5","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"East Asia & The US Since 1899","332
001","","5","3.500","40.0","40.0",".","20.0","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Globalization and Education","335
001","","16","3.719","50.0","43.8","6.3",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Growth&Develpmt Global Econ","374
001","","9","3.111","22.2","22.2","11.1","44.4","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"The Cold War","375
001","","4","4.000","75.0",".",".",".","",".",".",".","",".","",".",".","",".",".","","25.0",".",".","."
"","401
001","","22","3.886","81.8","13.6","4.5",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"","401
002","","15","3.933","86.7","13.3",".",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"","401
005","","10","3.900","90.0",".","10.0",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Topics in Global Security","Course Total","","47","3.904","85.1","10.6","4.3",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Politics&Policy in Globl Econ","001
402","","30","3.417","50.0","26.7","10.0","3.3","","3.3","3.3","3.3","",".","",".",".","",".",".","",".",".",".","."
"","403
001","","16","2.875","31.3","25.0","12.5","12.5","",".","6.3","12.5","",".","",".",".","",".",".","",".",".",".","."
"","403
002","","10","3.950","90.0","10.0",".",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Culture in Age of Globalizatn","Course Total","","26","3.288","53.8","19.2","7.7","7.7","",".","3.8","7.7","",".","",".",".","",".",".","",".",".",".","."
"Women's Global Health","535
001","","6","3.667","83.3",".",".",".","","16.7",".",".","",".","",".",".","",".",".","",".",".",".","."
"Politics&Policy in Global Econ","602
001","","8","3.571","50.0","25.0",".",".","","12.5",".",".","",".","",".",".","",".",".","","12.5",".",".","."
"Topics:Culture-Age of Globlztn","603
001","","3","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Senior Thesis","691
001","","1","",".",".",".",".","",".",".",".","",".","",".",".","",".","100.0","",".",".",".","."
"Senior Thesis","692
002","","1","3.500",".","100.0",".",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"","699
002","","1","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"","699
003","","1","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
"Directed Study","Course Total","","2","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".",".","",".",".",".","."
