"NUTRITIONAL SCIENCES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","","","",""
"","132
001","334","3.494","62.6","16.5","6.0","5.1","2.4","3.9","3.0","0.3","",".",".","",".","",".","0.3",".",".","."
"","132
002","335","3.782","78.8","9.3","6.6","2.7","2.1",".","0.6",".","",".",".","",".","",".",".",".",".","."
"Nutrition Today","Course Total","669","3.639","70.7","12.9","6.3","3.9","2.2","1.9","1.8","0.1","",".",".","",".","",".","0.1",".",".","."
"Prof-Dietetics & Nutrition","200
001","21","",".",".",".",".",".",".",".",".","",".","100.0","",".","",".",".",".",".","."
"","299
065","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299
072","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299
075","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","299
076","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Independent Study","Course Total","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Comparative Animal Nutritn","311
001","2","2.750",".",".","50.0","50.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Human Nutritional Needs","001
332","90","3.289","44.4","22.2","12.2","8.9","5.6","3.3","3.3",".","",".",".","",".","",".",".",".",".","."
"World Hunger & Malnutrition","350
001","131","3.606","48.1","29.8","12.2","5.3","1.5",".",".","1.5","",".",".","",".","",".",".",".","1.5","."
"Intro Epidemiology","379
001","154","3.851","82.5","10.4","3.9","1.3","1.9",".",".",".","",".",".","",".","",".",".",".",".","."
"","399
070","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","399
080","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","Course Total","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","421
001","17","3.971","94.1","5.9",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","421
002","59","3.966","93.2","6.8",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","421
004","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Global Health Field Experience","Course Total","81","3.969","93.8","6.2",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Nutrition in the Life Span","431
001","53","3.212","39.6","11.3","22.6","7.5","13.2","3.8",".",".","",".",".","",".","",".",".",".","1.9","."
"Undergrad Capstone Seminar Lab","500
001","36","3.819","72.2","22.2","2.8","2.8",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Nutr Biochm & Mtblsm","510
001","12","3.333","58.3","16.7","8.3",".",".","16.7",".",".","",".",".","",".","",".",".",".",".","."
"Nutrition, Fitness and Health","525
001","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Adv Nutr: Metab-Macronutrients","619
001","5","3.100",".","40.0","40.0","20.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro-Nutritnl Epidemiology","621
002","15","3.900","86.7","6.7","6.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Clinical Nutrition II","632
001","32","3.531","37.5","40.6","12.5","9.4",".",".",".",".","",".",".","",".","",".",".",".",".","."
"App Clinical Nutrition II","642
001","32","3.922","87.5","9.4","3.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Adv Clin Nutr: Crit Care Nutr","650
001","15","3.867","73.3","26.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Adv Clin Nutrition Pediatrics","651
001","26","3.750","84.6","3.8","7.7",".",".",".","3.8",".","",".",".","",".","",".",".",".",".","."
"Clinical Nutrition Research","653
001","23","3.739","78.3","17.4",".",".",".",".","4.3",".","",".",".","",".","",".",".",".",".","."
"Nutr & Dietetics Practicum II","671
001","16","4.000","93.8",".",".",".",".",".",".",".","",".",".","",".","",".","6.3",".",".","."
"Senior Thesis","692
018","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
008","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
012","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
016","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
073","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
084","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
085","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Problems","Course Total","15","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
