"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","",""
"IES","","","","","","","","","","","","","","","","","","","","","","",""
"ENVIR ST - GAYLORD NELSON I","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","","","","",""
"Forum on the Environment","101","001","112","3.844","89.3","6.3","0.9",".","0.9","0.9","1.8",".","",".",".","",".","",".",".",".",".","."
"Environmental Geology","106","001","37","3.014","27.0","29.7","13.5","16.2",".","8.1","5.4",".","",".",".","",".","",".",".",".",".","."
"Environmental Humanities","113","001","186","3.844","79.6","16.7","1.6","0.5","0.5","0.5","0.5",".","",".",".","",".","",".",".",".",".","."
"Intro Earth System","120","001","92","3.220","27.2","33.7","13.0","9.8","13.0","2.2",".",".","",".",".","",".","",".","1.1",".",".","."
"Principles-Envrnmtl Science","126","001","53","3.471","54.7","7.5","26.4","1.9","3.8","3.8",".",".","",".",".","",".","",".","1.9",".",".","."
"Global Environmental Issues","139","001","114","3.212","28.1","18.4","38.6","4.4","7.0","0.9","1.8",".","",".",".","",".","",".","0.9",".",".","."
"","153","001","30","3.850","83.3","6.7","6.7","3.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","153","002","7","3.571","57.1",".","42.9",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Literature and the Environment","","Course Total","37","3.797","78.4","5.4","13.5","2.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Global Chg: Atmospheric Iss","171","001","11","3.227","27.3","18.2","27.3","27.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","201","001","14","3.857","71.4","28.6",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","201","002","8","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","201","003","14","3.929","85.7","14.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Insects and Human Culture","","Course Total","36","3.861","72.2","27.8",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Cultures of Sustainability CEN","210","001","43","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Glbl Envir Hlth:Interdis Intro","213","001","43","3.750","72.1","20.9",".",".","2.3",".","2.3",".","",".",".","",".","",".",".",".","2.3","."
"Soil: Ecosystem & Resource","230","001","19","2.132","21.1",".","21.1","15.8","5.3","15.8","21.1",".","",".",".","",".","",".",".",".",".","."
"Introductory Ecology","260","001","26","2.885","34.6","3.8","11.5","3.8","46.2",".",".",".","",".",".","",".","",".",".",".",".","."
"People, Land and Food","309","001","38","3.763","65.8","23.7","7.9","2.6",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","310","001","8","3.563","12.5","87.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","310","002","6","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Chall & Solu in Bus Sustain","","Course Total","14","3.643","28.6","71.4",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","317","001","17","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","317","002","19","3.947","89.5","10.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Comm Envir Scholars Seminar","","Course Total","36","3.972","94.4","5.6",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Environmental History: Europe","328","001","12","3.167","16.7","33.3","25.0","16.7","8.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Global Warming:Science&Impacts","332","001","15","3.767","66.7","20.0","13.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Environmental Conservation","339","001","74","3.304","29.7","23.0","36.5","2.7","6.8","1.4",".",".","",".",".","",".","",".",".",".",".","."
"Environmental Economics","343","001","9","3.111","33.3","22.2","11.1",".","33.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Introduction to Air Quality","355","001","26","3.604","50.0","19.2","19.2",".","3.8",".",".","3.8","",".",".","",".","",".","3.8",".",".","."
"Wetlands Ecology","361","001","37","3.375","27.0","29.7","16.2","8.1","5.4",".",".","5.4","",".",".","",".","",".","8.1",".",".","."
"","367","001","28","3.161","17.9","25.0","39.3","7.1","10.7",".",".",".","",".",".","",".","",".",".",".",".","."
"","367","003","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Renewable Energy Systems","","Course Total","29","3.172","17.2","27.6","37.9","6.9","10.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Geog Info Systems","377","001","5","3.100","60.0",".",".","20.0",".","20.0",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","399","033","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400","002","6","3.333","16.7","33.3","50.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401","001","7","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","402","001","24","3.854","87.5",".","8.3","4.2",".",".",".",".","",".",".","",".","",".",".",".",".","."
