"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","","",""
"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","","","","","",""
"","267
035","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","267
063","5","4.000","80.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","20.0",".",".","."
"","267
089","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","267
135","4","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","267
220","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Ensemble-Brass","Course Total","35","4.000","97.1",".",".",".",".","",".","",".",".","",".",".","",".","",".","2.9",".",".","."
"","268
001","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","268
002","9","3.944","88.9","11.1",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Ensemble-Percussion","Course Total","15","3.967","93.3","6.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","269
016","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","269
066","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","269
071","13","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","269
171","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Ensemble-String","Course Total","23","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","272
101","7","3.500","57.1","14.3","14.3",".","14.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","272
102","9","3.611","44.4","33.3","22.2",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Musica Pract:Aural Skills 4","Course Total","16","3.563","50.0","25.0","18.8",".","6.3","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Intro to Music Education","300
001","5","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Music Learning and Teaching 2","302
001","7","3.857","85.7",".","14.3",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Musical Women Europe & America","317
001","10","3.750","70.0","10.0","20.0",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Topics in Music & Ethnicity-US","319
001","68","3.500","63.2","7.4","11.8","2.9","5.9","","1.5","","2.9",".","",".",".","",".","",".",".",".","2.9","1.5"
"","332
001","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","332
002","2","3.750","50.0","50.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Jazz Improvisation","Course Total","4","3.875","75.0","25.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Practicum in Teaching Music","337
001","6","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","346
029","1","3.500",".","100.0",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","346
116","3","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","346
216","2","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Repertoire","Course Total","6","3.917","83.3","16.7",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"Wind Ensemble","40
001","25","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"St Teach Music Gen/Vocal","409
001","1","",".",".",".",".",".","",".","",".",".","",".","100.0","",".","",".",".",".",".","."
"Concert Band","41
001","44","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"St Teach Music Gen/Instr","410
001","3","",".",".",".",".",".","",".","",".",".","",".","100.0","",".","",".",".",".",".","."
"Survey Music-Romantic Era","415
001","20","3.778","60.0","20.0","10.0",".",".","",".","",".",".","",".",".","",".","",".","10.0",".",".","."
"Varsity Band","42
001","244","3.799","82.4","7.0","2.9","1.2","2.0","","2.5","",".","2.0","",".",".","",".","",".",".",".",".","."
"Teaching Pop Inst Music 2","421
001","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","43
001","107","4.000","99.1",".",".",".",".","",".","",".","0.9","",".",".","",".","",".",".",".",".","."
"","43
002","62","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"","43
003","86","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
"University Band","Course Total","255","4.000","99.6",".",".",".",".","",".","",".","0.4","",".",".","",".","",".",".",".",".","."
"Collegium Musicum","461
001","5","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".",".",".",".","."
