"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","49","3.260","22.4","32.7","24.5","10.2","8.2",".",".",".","",".",".","",".","",".",".","2.0",".","."
"Intro US Ethnic/Am Ind Studies","102
001","51","3.857","84.3","7.8","2.0",".",".",".","2.0","3.9","",".",".","",".","",".",".",".",".","."
"Asian American Movement","121
001","9","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","19","3.316","47.4","15.8","15.8","5.3","10.5","5.3",".",".","",".",".","",".","",".",".",".",".","."
"Topics-Asian Amer Studies","240
001","84","3.958","97.6","1.2",".",".",".","1.2",".",".","",".",".","",".","",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","34","3.697","58.8","23.5","11.8",".","2.9",".",".",".","",".",".","",".","",".",".",".","2.9","."
"Survey of Asian Americn Lit","270
001","21","3.800","71.4","14.3","4.8","4.8",".",".",".",".","",".",".","",".","",".","4.8",".",".","."
"Hmong American Social Mvments","441
001","31","3.435","38.7","22.6","25.8","12.9",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topic in Asian American Lit","462
001","21","3.881","76.2","23.8",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Topics","540
001","18","3.722","83.3","11.1",".",".",".",".","5.6",".","",".",".","",".","",".",".",".",".","."
"Humanities Topics","560
001","12","3.667","83.3",".","8.3",".",".","8.3",".",".","",".",".","",".","",".",".",".",".","."
"Mass Media and Minorities","662
001","3","2.167",".","33.3","33.3",".",".",".","33.3",".","",".",".","",".","",".",".",".",".","."
"ASIAN AM
184","Dept. Total","352","3.680","68.8","14.2","8.8","3.1","2.0","0.9","0.9","0.6","",".",".","",".","",".","0.3","0.3","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","41","3.323","41.5","17.1","22.0","9.8","2.4","4.9",".",".","",".",".","",".","",".",".","2.4",".","."
"Sophomore","","94","3.747","69.1","17.0","6.4","2.1","3.2",".",".",".","",".",".","",".","",".","1.1",".","1.1","."
"Junior","","96","3.705","76.0","10.4","7.3","3.1",".","1.0","2.1",".","",".",".","",".","",".",".",".",".","."
"Senior","","115","3.722","72.2","14.8","7.8","1.7","2.6",".","0.9",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","346","3.676","68.8","14.5","9.0","3.2","2.0","0.9","0.9",".","",".",".","",".","",".","0.3","0.3","0.3","."
"Special","","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","352","3.680","68.8","14.2","8.8","3.1","2.0","0.9","0.9","0.6","",".",".","",".","",".","0.3","0.3","0.3","."
