"PORTUGUESE (SPANISH & POR Section","","#","","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"782
PORTUG","","","","","","","","","","","","","","","","","","","","","","","","",""
"2nd Semester Portuguese","102
001","","16","2.875","43.8",".","12.5","25.0","6.3","",".","12.5","",".","",".",".","",".","",".",".",".",".","."
"4th Semester Portuguese","202
001","","7","3.429","42.9",".","57.1",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"3rd Yr Conversatn & Compositn","226
001","","5","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Intensive Portuguese","301
001","","11","3.864","72.7","27.3",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Brazillian Women Writers","450
001","","10","4.000","90.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","10.0",".",".","."
"Lusophone African LIt","451
001","","4","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"Luso-Brazilian Culture","642
001","","15","3.900","80.0","20.0",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"PORTUG
782","Dept. Total","","68","3.581","70.6","8.8","8.8","5.9","1.5","",".","2.9","",".","",".",".","",".","",".","1.5",".",".","."
