"ENGR MECHANICS & AEROSPA","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","9","3.889","77.8","22.2",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","201
001","219","3.055","27.4","26.0","16.9","13.2","6.4","8.2","1.8","",".","",".",".","",".","",".",".",".",".","."
"","201
002","199","2.937","25.1","26.6","14.1","11.1","10.6","7.5","4.5","",".","",".",".","",".","",".","0.5",".",".","."
"Statics","Course Total","418","2.999","26.3","26.3","15.6","12.2","8.4","7.9","3.1","",".","",".",".","",".","",".","0.2",".",".","."
"Dynamics","202
001","111","3.176","21.6","25.2","29.7","13.5","9.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"","303
001","71","2.528","12.7","22.5","12.7","15.5","15.5","15.5","5.6","",".","",".",".","",".","",".",".",".",".","."
"","002
303","75","2.867","25.3","12.0","22.7","9.3","21.3","9.3",".","",".","",".",".","",".","",".",".",".",".","."
"Mechanics of Materials","Course Total","146","2.702","19.2","17.1","17.8","12.3","18.5","12.3","2.7","",".","",".",".","",".","",".",".",".",".","."
"","307
001","2","3.500",".","100.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
003","7","3.643","42.9","42.9","14.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
004","3","3.833","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
005","4","3.625","50.0","25.0","25.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
006","5","3.500","40.0","40.0",".","20.0",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
007","6","3.750","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
008","4","3.625","25.0","75.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
009","5","3.900","80.0","20.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
010","7","3.643","42.9","42.9","14.3",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
011","6","3.833","66.7","33.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
012","4","3.750","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
014","8","3.563","25.0","62.5","12.5",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
015","6","3.583","33.3","50.0","16.7",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
016","7","3.571","57.1","28.6",".",".","14.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
017","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","76","3.671","47.4","43.4","6.6","1.3","1.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"Matrls-Constructed Facilities","395
001","1","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Practicum-Finite Elements","405
001","32","3.391","40.6","18.8","25.0","9.4","6.3",".",".","",".","",".",".","",".","",".",".",".",".","."
"Intermed Problem Solving-Engrs","471
002","16","2.967","18.8","18.8","31.3","12.5",".","12.5",".","",".","",".",".","",".","",".","6.3",".",".","."
"Intro-Sci Comput for Engr Phys","476
001","3","3.167",".","66.7",".","33.3",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Composite Materials","508
001","6","3.833","83.3",".","16.7",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Fracture Mechanics","519
001","9","2.778","11.1","11.1","33.3","33.3",".","11.1",".","",".","",".",".","",".","",".",".",".",".","."
"Aerodynamics Lab","522
001","24","2.870",".","12.5","58.3","12.5","12.5",".",".","",".","",".",".","",".","",".","4.2",".",".","."
"Flight Dynamics and Control","523
001","13","3.692","61.5","23.1","7.7","7.7",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Mechanical Vibrations","545
001","35","3.030","20.0","22.9","20.0","17.1","8.6","5.7",".","","2.9","",".",".","",".","",".","2.9",".",".","."
"Engineering Analysis II","548
001","3","3.667","33.3","66.7",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Astrodynamics","550
001","23","3.705","56.5","26.1","8.7","4.3",".",".",".","",".","",".",".","",".","",".","4.3",".",".","."
"Senior Design Project","569
001","30","3.167","23.3","23.3","23.3","23.3","6.7",".",".","",".","",".",".","",".","",".",".",".",".","."
"","599
005","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","599
056","2","3.875","50.0","50.0",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","599
057","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","599
058","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Independent Study","Course Total","7","3.972","85.7","14.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
