"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"PL PATH","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","5","***","","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","26","3.851","76.9","19.2","3.8",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","61","3.801","77.0","11.5","6.6","3.3","",".","",".","",".",".","",".",".","",".",".","1.6",".",".","."
"Senior","","83","3.620","55.4","24.1","13.3","6.0","",".","",".","",".",".","",".",".","",".",".","1.2",".",".","."
"Undergraduates","","175","3.695","65.1","19.4","10.3","4.0","",".","",".","",".",".","",".",".","",".",".","1.1",".",".","."
"Special","","3","***","","","","","","","","","","","","","",".","",".",".",".",".","66.7","."
"Graduate","","70","3.824","32.9","5.7","1.4",".","",".","",".","",".","18.6","",".",".","",".","41.4",".",".",".","."
"","Dept. Total","248","3.707","55.2","15.3","7.7","2.8","",".","",".","",".","5.6","",".",".","",".","11.7","0.8",".","0.8","."
