"NURSING","Section","#","","Ave","A","AB","B","BC","C","","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","","","","","",""
"","729
040","","4","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","729
060","","7","3.286","57.1","14.3",".",".","",".","14.3",".","",".","",".",".","",".","",".","14.3",".",".","."
"APN Clin Appl & Role Dev II","Course Total","","28","3.831","85.7","3.6","3.6",".","",".","3.6",".","",".","",".",".","",".","",".","3.6",".",".","."
"","746
001","","7","3.429","85.7",".",".",".","",".",".","14.3","",".","",".",".","",".","",".",".",".",".","."
"","746
002","","1","3.500",".","100.0",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Intrdis Care-Chld/Spec Hlth Nd","Course Total","","8","3.438","75.0","12.5",".",".","",".",".","12.5","",".","",".",".","",".","",".",".",".",".","."
"","761
001","","26","3.981","96.2","3.8",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","761
002","","10","3.700","50.0","40.0","10.0",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Health Prgm Planning, Eval, QI","Course Total","","36","3.903","83.3","13.9","2.8",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Found of Curr Dev&Eval-Nurs Ed","785
001","","9","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Found of Teach&Learn in Nursng","786
001","","6","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Independent Study","799
030","","1","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Adv Quant Design & Methods","803
001","","7","3.833","57.1","28.6",".",".","",".",".",".","","14.3","",".",".","",".","",".",".",".",".","."
"Measurement in Health Research","805
001","","7","4.000","71.4",".",".",".","",".",".",".","","28.6","",".",".","",".","",".",".",".",".","."
"","806
001","","31","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","806
002","","8","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Eval & App Evidence-Based Prac","Course Total","","39","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Knowledge Developmt in Nursing","815
001","","4","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","829
010","","8","3.875","75.0","25.0",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","829
012","","2","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","829
020","","7","3.929","85.7","14.3",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","829
021","","1","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","829
040","","6","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","829
060","","4","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","829
061","","4","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","829
070","","2","4.000","100.0",".",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Clinical Leadership IV","Course Total","","34","3.956","91.2","8.8",".",".","",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","906
001","","2","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","906
002","","4","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","906
003","","3","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","906
004","","4","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","906
005","","2","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","906
006","","4","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","906
007","","5","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","906
008","","4","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","906
009","","4","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","906
033","","1","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"Scholarly Project","Course Total","","33","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","990
011","","1","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","990
028","","1","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","990
054","","1","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","990
067","","3","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"","990
075","","2","",".",".",".",".","",".",".",".","100.0","","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 431 of 454",""
