"EDU","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ART EDUCATION (DEPT OF ART) Section","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"423
001
Stdt Tchg-Elem School Art","","10","3.750","70.0","10.0","20.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"424
001
Stdt Tchg-Secondary Sch Art","","9","3.722","66.7","11.1","22.2","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"699
045
Independent Reading & Rsch","","1","4.000","100.0",".",".","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"ART ED
Dept. Total
176","","20","3.741","70.0","10.0","20.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"176
ART ED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","1","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","","14","3.786","71.4","14.3","14.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","15","3.791","73.3","13.3","13.3","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","5","***","","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Dept. Total","","20","3.741","70.0","10.0","20.0","",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
