"","AGRICULTURAL AND APPLIED E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","","","","",""
"108
A A E","","","","","","","","","","","","","","","","","","","","","","","",""
"Intro to Ag & Applied Econ","215","001","","63","3.302","41.3","22.2","12.7","12.7","7.9","1.6","1.6",".","",".",".","",".","",".",".",".",".","."
"Climate Change Econ & Policy","246","001","","74","3.473","44.6","18.9","28.4","1.4","4.1","1.4",".",".","",".",".","",".","",".",".","1.4",".","."
"Independent Study","299","080","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"The Real Estate Process","306","001","","1","3.500",".","100.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Commodity Markets","322","001","","39","3.051","30.8","17.9","20.5","12.8","10.3","5.1","2.6",".","",".",".","",".","",".",".",".",".","."
"Cooperatives","323","001","","15","3.462","26.7","26.7","33.3",".",".",".",".","6.7","",".",".","",".","",".",".",".","6.7","."
"Environmental Economics","343","001","","10","3.361","20.0","50.0","10.0","20.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"World Hunger & Malnutrition","350","001","","97","3.620","47.4","35.1","12.4","3.1",".","1.0",".",".","",".",".","",".","",".",".","1.0",".","."
"Intro to Organic Agriculture","367","001","","2","3.250",".","50.0","50.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Growth&Develpmt Global Econ","374","001","","16","3.125","31.3","31.3","6.3","18.8","6.3",".","6.3",".","",".",".","",".","",".",".",".",".","."
"Special Topics","375","001","","17","3.267","5.9","52.9","17.6","5.9","5.9",".",".","11.8","",".",".","",".","",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","107","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Agricultural Finance","419","001","","34","3.471","29.4","44.1","20.6","2.9","2.9",".",".",".","",".",".","",".","",".",".",".",".","."
"Econ Probs-Developing Areas","474","001","","14","3.654","57.1","14.3","14.3","7.1",".",".",".",".","",".",".","",".","",".","7.1",".",".","."
"Agri & Econ Development-Africa","477","001","","5","3.800","80.0",".","20.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Capstone Experience","500","001","","22","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Community Economic Analysis","520","001","","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Natural Resource Economics","531","001","","11","3.545","27.3","63.6",".","9.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Applied Econometric Anal II","637","001","","18","3.813","61.1","22.2","5.6",".",".",".",".","5.6","",".",".","",".","",".",".",".","5.6","."
"Fndtns Agricultural Economics","641","001","","19","3.842","84.2","5.3","5.3","5.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Fndtns Development Economics","642","001","","11","3.688","27.3","45.5",".",".",".",".",".",".","",".",".","",".","",".","27.3",".",".","."
"Senior Thesis","692","082","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Problems","699","080","","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prof Comm of Applied Econ Anly","721","001","","15","3.633","40.0","53.3",".","6.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Development Economics 1","730","001","","6","3.500","50.0",".","50.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Envir & Resource Econ 2","762","001","","8","3.714","50.0","25.0","12.5",".",".",".",".",".","",".",".","",".","",".","12.5",".",".","."
"Econometrics Res/Energy Demand","772","001","","10","3.450","60.0","10.0","10.0",".","20.0",".",".",".","",".",".","",".","",".",".",".",".","."
"","990","056","","1","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990","057","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","073","","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","080","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","082","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","086","","1","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","088","","4","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","089","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","093","","5","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","095","","3","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","097","","5","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990","098","","2","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","Page 1 of 454"
