"ACCOUNTING AND INFO SYSTE","Section","#","","Ave","A","AB","","B","","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232
ACCT I S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Smr-Current Taxation Topics","772
001","","20","3.600","40.0","","40.0","","20.0",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Smr-Accounting Research","971
001","","4","3.875","75.0","","25.0","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","990
008","","1","",".","",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","990
077","","1","",".","",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","990
086","","3","",".","",".","",".",".","",".","",".","",".","100.0","","",".",".","",".","",".","",".",".",".","."
"","990
122","","1","",".","",".","",".",".","",".","",".","",".","",".","",".",".","",".","100.0","","",".",".",".","."
"PhD Thesis-Accounting","Course Total","","6","",".","",".","",".",".","",".","",".","",".","83.3","","",".",".","",".","16.7","","",".",".",".","."
"","999
026","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","999
077","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","999
110","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","999
117","","1","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","999
130","","2","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Readng & Rsch-Accountng PhD","Course Total","","6","4.000","100.0","",".","",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
