"LIFE SCIENCES COMMUNICATIO Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"625
001
Risk Communication","","15","3.833","","86.7","","6.7","",".",".","","6.7","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"640
001
Case Studies-Com of Sci & Tech","","21","3.905","","85.7","","9.5","","4.8",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"699
006
Special Problems","","1","3.500","",".","100.0","","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"700
001
Colloq in Life Sci Communicatn","","22","","",".","",".","",".",".","",".","",".","",".",".","",".","100.0","",".","",".","",".",".",".","."
"875
001","","9","3.944","","88.9","","11.1","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"875
002","","9","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Course Total
Special Topics","","18","3.972","","94.4","","5.6","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"880
053
Topics in Mass Communication","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"902
001
Public Opinion-Life Sci Issues","","17","3.882","","76.5","","23.5","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"990
002","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
004","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
005","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"990
008","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Course Total
Research","","7","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"999
002","","1","4.000","","100.0","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"999
010","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Course Total
Independent Research","","2","4.000","","50.0","",".","",".",".","",".","",".","",".","50.0","",".",".","",".","",".","",".",".",".","."
"LSC
Dept. Total
120","","760","3.722","","71.2","","13.0","","5.0","2.6","","2.0","","1.3","","0.8","1.1","",".","2.9","",".","",".","",".",".",".","0.1"
