"FINANCE, INVESTMENT & BANKI Section","","#","","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","","","","","","","",""
"","602
001","","25","3.780","64.0","28.0","8.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","602
002","","21","3.881","76.2","23.8",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Wealth Mgmt&Financial Planning","Course Total","","46","3.826","69.6","26.1","4.3",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","635
001","","24","3.417","33.3","29.2","29.2","4.2","4.2","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","635
002","","35","3.157","40.0","20.0","11.4","11.4","11.4","",".","5.7",".","",".",".","",".","",".","",".",".",".","."
"Business Valuation","Course Total","","59","3.263","37.3","23.7","18.6","8.5","8.5","",".","3.4",".","",".",".","",".","",".","",".",".",".","."
"Intro to Applied Portfolio Mgt","646
001","","16","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","650
001","","12","3.591","33.3","41.7","16.7",".",".","",".",".","8.3","",".",".","",".","",".","",".",".",".","."
"","650
002","","19","3.500","31.6","47.4","10.5","10.5",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Mergers and Acquisitions","Course Total","","31","3.533","32.3","45.2","12.9","6.5",".","",".",".","3.2","",".",".","",".","",".","",".",".",".","."
"Intro to Financial Mgmnt","700
040","","16","3.906","81.3","18.8",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","725
001","","12","3.833","66.7","33.3",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","725
030","","21","3.476","57.1","4.8","23.8","4.8","9.5","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","725
060","","13","3.808","61.5","38.5",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Corporatn Finance Thry&Prac","Course Total","","46","3.663","60.9","21.7","10.9","2.2","4.3","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Analysis Fixed Inc Securities","740
001","","17","3.794","64.7","29.4","5.9",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","745
001","","9","3.778","55.6","44.4",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","745
040","","23","3.739","47.8","52.2",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Multinational Bus Finance","Course Total","","32","3.750","50.0","50.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Entrepreneurial Finance","757
001","","7","3.857","71.4","28.6",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Contemporary Topics","765
001","","2","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Adv Derivative Securities","830
060","","14","3.607","57.1","21.4","14.3",".","7.1","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Security Anal&Invstmt Mgt 2","836
001","","19","3.763","68.4","26.3",".",".","5.3","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Seminar-Investments (Ph.D.)","970
001","","4","3.000",".",".","100.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Smr-Corporate Finance (Ph.D.)","971
001","","4","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Seminar-Workshop in Finance","973
001","","9","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","990
016","","1","",".",".",".",".",".","",".",".","100.0","",".",".","",".","",".","",".",".",".","."
"","990
121","","1","",".",".",".",".",".","",".",".",".","",".",".","",".","100.0","","",".",".",".","."
"PhD Thesis-Finance","Course Total","","2","",".",".",".",".",".","",".",".","50.0","",".",".","",".","50.0","","",".",".",".","."
"Reading & Rsch-Finance PhD","999
053","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
