"ELECTRICAL AND COMPUTER E Section","#","","Ave","A","","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"790
115","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"Course Total
Master's Research","","65","","",".","",".","",".",".","",".","",".","",".","84.6","",".",".","",".","15.4","",".",".",".","."
"826
001
Theoreticl Foundtn Lg-scale ML","","15","3.393","","66.7","","6.7","","6.7",".","",".","","6.7","","6.7","6.7","",".",".","",".",".","",".",".",".","."
"845
001
Trnsprt-Semicondctr Devices","","8","3.813","","62.5","","37.5","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"890
002","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
004","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
009","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
011","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
012","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
013","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
014","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
017","","5","","",".","",".","",".",".","",".","",".","",".","60.0","",".",".","",".","40.0","",".",".",".","."
"890
028","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
029","","5","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
031","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
032","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
035","","4","","",".","",".","",".",".","",".","",".","",".","25.0","",".",".","",".","75.0","",".",".",".","."
"890
036","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
037","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
039","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
041","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
045","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
046","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
050","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
051","","6","","",".","",".","",".",".","",".","",".","",".","16.7","",".",".","",".","83.3","",".",".",".","."
"890
052","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
053","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
054","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
058","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
060","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
062","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
063","","7","","",".","",".","",".",".","",".","",".","",".","42.9","",".",".","",".","57.1","",".",".",".","."
"890
065","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
066","","3","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
079","","3","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
093","","2","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
094","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"101
890","","1","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
102","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
107","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
108","","2","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
110","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
111","","6","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"890
112","","1","","",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","100.0","",".",".",".","."
"890
113","","2","","",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 128 of 454",""
