"ALS","","","","","","","","","","","","","","","","","","","","","","","","",""
"FARM & INDUSTRY SHORT COU Section","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"375
FISC","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dairy Cattle Selection & Eval","105
001","12","3.583","58.3","16.7","8.3","16.7",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Ruminant Nutrition","114
001","17","2.971","23.5","11.8","17.6","29.4","17.6","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Agribusiness Feasibility Plng","115
001","15","3.900","86.7","6.7","6.7",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Turf Nutrient Mgmt","122
001","5","3.600","60.0",".","40.0",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Reproduction of Farm Animals","134
001","13","3.308","23.1","46.2","15.4",".","15.4","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"ID and Management of Ag Pests","142
001","16","3.500","50.0","18.8","18.8","6.3","6.3","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Farm Power","143
001","17","3.324","47.1","5.9","11.8","35.3",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Agricultural Sales","21
001","6","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"The Business of Agriculture","50
001","12","2.583","16.7","25.0","8.3","25.0","8.3","",".","16.7","",".","",".",".","",".","",".","",".",".",".","."
"Special Topics in FISC","75
001","2","3.667","50.0","50.0",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"FISC
375","Dept. Total","115","3.388","47.8","16.5","13.0","14.8","6.1","",".","1.7","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"375
FISC","","","","","","","","","","","","","","","","","","","","","","","","",""
"Special","","115","3.388","47.8","16.5","13.0","14.8","6.1","",".","1.7","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","115","3.388","47.8","16.5","13.0","14.8","6.1","",".","1.7","",".","",".",".","",".","",".","",".",".",".","."
