"PHYSICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","","","","",""
"","103
001","249","3.004","18.1","20.1","22.9","24.1","12.9","0.8","0.4","",".","",".",".","",".","",".","0.4",".",".","0.4"
"","103
002","135","3.000","16.3","21.5","24.4","24.4","11.9","1.5",".","",".","",".",".","",".","",".",".",".",".","."
"General Physics","Course Total","384","3.003","17.4","20.6","23.4","24.2","12.5","1.0","0.3","",".","",".",".","",".","",".","0.3",".",".","0.3"
"","001
104","288","3.159","28.5","20.8","20.1","19.1","9.7","0.3","1.0","",".","",".",".","",".","",".","0.3",".",".","."
"","104
002","218","3.023","19.7","23.4","19.3","18.8","16.5","0.9","0.5","",".","",".",".","",".","",".","0.9",".",".","."
"","104
003","131","3.058","22.1","22.1","21.4","16.8","13.0","3.1",".","",".","",".",".","",".","",".","1.5",".",".","."
"General Physics","Course Total","637","3.092","24.2","22.0","20.1","18.5","12.7","1.1","0.6","",".","",".",".","",".","",".","0.8",".",".","."
"Ideas of Modern Physics","107
001","41","3.800","53.7","29.3","2.4",".",".",".",".","",".","",".",".","",".","",".","14.6",".",".","."
"","109
001","160","3.603","55.0","25.6","11.9","5.0","1.3",".","1.3","",".","",".",".","",".","",".",".",".",".","."
"","109
002","87","3.736","59.8","31.0","5.7","3.4",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Physics in the Arts","Course Total","247","3.650","56.7","27.5","9.7","4.5","0.8",".","0.8","",".","",".",".","",".","",".",".",".",".","."
"Energy","115
001","34","2.933","23.5","8.8","20.6","14.7","17.6",".","2.9","","11.8","",".",".","",".","",".",".",".",".","."
"Directed Study","199
011","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","201
001","289","2.965","21.8","18.0","18.3","20.8","18.3","2.8",".","",".","",".",".","",".","",".",".",".",".","."
"","002
201","65","2.615","15.4","6.2","18.5","24.6","26.2","9.2",".","",".","",".",".","",".","",".",".",".",".","."
"General Physics","Course Total","354","2.901","20.6","15.8","18.4","21.5","19.8","4.0",".","",".","",".",".","",".","",".",".",".",".","."
"","202
001","98","3.020","18.4","20.4","25.5","20.4","14.3","1.0",".","",".","",".",".","",".","",".",".",".",".","."
"","202
002","251","2.962","22.3","17.9","17.9","20.7","16.7","4.0",".","",".","",".",".","",".","",".","0.4",".",".","."
"General Physics","Course Total","349","2.978","21.2","18.6","20.1","20.6","16.0","3.2",".","",".","",".",".","",".","",".","0.3",".",".","."
"","207
001","77","3.071","19.5","22.1","36.4","13.0","3.9","2.6","2.6","",".","",".",".","",".","",".",".",".",".","."
"","207
002","85","2.905","17.6","22.4","24.7","15.3","10.6","4.7","3.5","",".","",".",".","",".","",".","1.2",".",".","."
"General Physics","Course Total","162","2.984","18.5","22.2","30.2","14.2","7.4","3.7","3.1","",".","",".",".","",".","",".","0.6",".",".","."
"","208
001","149","3.118","21.5","23.5","26.2","14.8","12.8","0.7",".","",".","",".",".","",".","",".","0.7",".",".","."
"","208
002","107","2.967","18.7","28.0","20.6","14.0","11.2","4.7","2.8","",".","",".",".","",".","",".",".",".",".","."
"General Physics","Course Total","256","3.055","20.3","25.4","23.8","14.5","12.1","2.3","1.2","",".","",".",".","",".","",".","0.4",".",".","."
"Intro-Solid State Electronics","235
001","2","3.250",".","50.0","50.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Intro to Modern Physics","241
001","36","3.324","27.8","16.7","38.9","11.1",".",".",".","",".","",".",".","",".","",".",".","5.6",".","."
"A Modern Intro to Physics","248
001","49","3.673","67.3","18.4","6.1","2.0","4.1","2.0",".","",".","",".",".","",".","",".",".",".",".","."
"Intro-Medical Physics","265
001","4","3.250","25.0","50.0",".",".","25.0",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
001","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","299
029","1","",".",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","100.0","."
"","299
033","1","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","3","4.000","66.7",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","33.3","."
"Physics Today","301
001","40","3.950","95.0",".","5.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
001","27","3.204","22.2","25.9","22.2","29.6",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"","307
002","28","3.054","28.6","17.9","28.6","14.3","3.6",".","7.1","",".","",".",".","",".","",".",".",".",".","."
"Intmed Lab-Mech&Mod Physics","Course Total","55","3.127","25.5","21.8","25.5","21.8","1.8",".","3.6","",".","",".",".","",".","",".",".",".",".","."
"Mechanics","311
001","59","3.281","30.5","20.3","32.2","6.8","3.4","3.4",".","",".","",".",".","",".","",".","1.7","1.7",".","."
"Electromagnetic Fields","322
001","45","3.261","33.3","17.8","24.4","20.0",".",".","2.2","",".","",".",".","",".","",".",".",".",".","2.2"
"Electromagnetic Fields","323
001","2","4.000","100.0",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Optics","325
001","44","2.841","6.8","15.9","36.4","25.0","13.6","2.3",".","",".","",".",".","",".","",".",".",".",".","."
