"L&S","","","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"SOC
900","Dept. Total","2642","3.504","49.9","21.4","11.5","5.6","4.4","1.0","0.9","3.5","",".",".","",".","0.5","0.4","0.4","0.4","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","484","3.329","38.4","24.8","17.1","7.6","8.9","1.7","1.0",".","",".",".","",".",".",".","0.2",".","0.2"
"Sophomore","","879","3.554","54.5","23.3","11.7","4.9","3.6","1.0","0.8",".","",".",".","",".",".",".","0.1",".","."
"Junior","","509","3.546","54.4","21.0","10.4","7.7","3.5","1.2","0.4",".","",".",".","",".",".","0.8","0.6",".","."
"Senior","","461","3.489","51.6","21.7","11.3","5.4","4.3","0.9","2.0",".","",".",".","",".","0.2","1.3","0.9","0.4","."
"Undergraduates","","2333","3.493","50.6","22.8","12.5","6.2","4.8","1.2","1.0",".","",".",".","",".","0.0","0.4","0.4","0.1","0.0"
"Special","","48","3.460","31.3","27.1","16.7","2.1","4.2",".",".","4.2","",".",".","",".",".","2.1","2.1","10.4","."
"Graduate","","261","3.807","47.1","8.0","2.3","1.5",".",".",".","34.5","",".",".","",".","5.0",".",".","1.5","."
"","Dept. Total","2642","3.504","49.9","21.4","11.5","5.6","4.4","1.0","0.9","3.5","",".",".","",".","0.5","0.4","0.4","0.4","0.0"
