"MUSIC","Section","#","","Ave","A","AB","","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marching Band Techniques","465
001","","2","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Language Diction-Singing II","468
001","","8","3.786","62.5","","12.5","12.5",".",".","",".","",".","",".","",".",".","",".","",".","","12.5",".",".","."
"","497
026","","6","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","497
031","","15","3.467","66.7","",".","13.3",".","20.0","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","497
032","","10","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","497
050","","4","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","497
059","","6","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","497
070","","15","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","497
126","","14","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","497
159","","4","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special Topics in Music","Course Total","","74","3.855","93.2","",".","2.7",".","4.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","499
010","","1","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","499
020","","3","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","499
066","","1","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","499
096","","1","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Directed Study","Course Total","","6","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Concert Choir","50
001","","28","3.911","92.9","",".","3.6","3.6",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Survey of Opera","513
001","","15","3.857","73.3","","13.3","6.7",".",".","",".","",".","",".","",".",".","",".","",".","","6.7",".",".","."
"Women's Chorus","52
001","","48","3.969","93.8","","6.3",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Choral Lit &Perf Prac-Today","542
001","","4","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced String Pedagogy","544
001","","4","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","546
016","","2","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","546
116","","2","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"String Literature","Course Total","","4","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Conducting Seminar","553
001","","6","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"University Opera","556
001","","12","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Opera Workshop","557
001","","2","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Madrigal Singers","558
001","","2","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Chorale","56
001","","29","3.879","89.7","",".","6.9","3.4",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","562
064","","2","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","562
066","","1","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","562
096","","1","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","562
101","","1","",".","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","100.0","."
"","562
196","","2","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Jazz Ensemble","Course Total","","7","4.000","85.7","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","14.3","."
"","565
049","","2","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","565
059","","7","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Advanced Ensemble-Woodwind","Course Total","","9","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","567
020","","4","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","567
035","","3","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","567
063","","4","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","567
089","","1","4.000","100.0","",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","","Page 289 of 454",""
