"ART HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","","","",""
"","103
001","124","3.923","83.1","4.0","1.6",".",".",".","0.8","10.5","",".",".","",".","",".",".",".",".","."
"","103
002","142","3.701","69.0","9.2","8.5","1.4","2.8","1.4","0.7",".","",".",".","",".","",".",".","7.0",".","."
"Topics in Art History","Course Total","266","3.802","75.6","6.8","5.3","0.8","1.5","0.8","0.8","4.9","",".",".","",".","",".",".","3.8",".","."
"History of Western Art I","201
001","74","2.636","6.8","13.5","28.4","6.8","13.5","6.8","4.1",".","",".",".","",".","",".","1.4",".","18.9","."
"Intro to Afro-American Art","242
001","27","3.808","63.0","29.6","3.7",".",".",".",".",".","",".",".","",".","",".","3.7",".",".","."
"","303
001","15","3.267","53.3","6.7","20.0","6.7","6.7",".","6.7",".","",".",".","",".","",".",".",".",".","."
"","303
002","15","3.550","40.0",".","20.0","6.7",".",".",".",".","",".",".","",".","",".",".","33.3",".","."
"Topics in Art History","Course Total","30","3.380","46.7","3.3","20.0","6.7","3.3",".","3.3",".","",".",".","",".","",".",".","16.7",".","."
"Art & Archaeology-Ancient Rome","001
304","31","3.435","41.9","29.0","16.1","6.5","3.2","3.2",".",".","",".",".","",".","",".",".",".",".","."
"Later Chinese Art","308
001","30","3.583","66.7","13.3","6.7","3.3","6.7","3.3",".",".","",".",".","",".","",".",".",".",".","."
"Brit Art & Soc,18 c-Present","346
001","31","3.739","45.2","22.6","3.2","3.2",".",".",".","25.8","",".",".","",".","",".",".",".",".","."
"Topics in Art History","403
001","23","3.587","60.9","21.7","8.7",".","4.3","4.3",".",".","",".",".","",".","",".",".",".",".","."
"Topics in 19th Century Art","407
001","21","3.500","38.1","47.6","4.8",".",".",".","4.8","4.8","",".",".","",".","",".",".",".",".","."
"Topics in Twentieth-Cent Art","408
001","24","3.875","41.7","4.2","4.2",".",".",".",".","50.0","",".",".","",".","",".",".",".",".","."
"Topics in Asian Art","411
001","9","3.000","44.4",".","11.1","22.2","11.1","11.1",".",".","",".",".","",".","",".",".",".",".","."
"Visual Cultures of India","428
001","4","3.250","50.0",".",".","50.0",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Topics in Visual Culture","430
001","5","3.100","60.0","20.0",".",".",".",".","20.0",".","",".",".","",".","",".",".",".",".","."
"","500
001","6","3.917","83.3","16.7",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","500
002","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prosem:Spec Topics-Art Hist","Course Total","8","3.938","87.5","12.5",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Proseminar in Ancient Art","505
001","8","3.438","75.0","12.5",".",".",".",".","12.5",".","",".",".","",".","",".",".",".",".","."
"Curatorial Studies Exhbtn Clss","506
001","9","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Prosmr:20th Cent European Art","556
001","3","4.000","66.7",".",".",".",".",".",".","33.3","",".",".","",".","",".",".",".",".","."
"Proseminar in Material Culture","563
001","10","3.722","50.0","30.0","10.0",".",".",".",".",".","",".",".","",".","",".","10.0",".",".","."
"","600
001","4","3.750","50.0","50.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","600
002","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Special Topics-Art History","Course Total","6","3.833","66.7","33.3",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Senior Honors Thesis","682
035","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","699
002","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","707
001","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","707
002","4","4.000","75.0",".",".",".",".",".",".",".","",".",".","",".","",".","25.0",".",".","."
"Topics in 19th Cent. Art","Course Total","5","4.000","80.0",".",".",".",".",".",".",".","",".",".","",".","",".","20.0",".",".","."
"Topics in Chinese Art History","776
002","4","3.750","25.0","25.0",".",".",".",".",".",".","",".",".","",".","",".","50.0",".",".","."
"","799
002","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","799
006","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","799
021","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","799
029","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","799
035","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","799
041","3","",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","100.0","."
"","799
042","3","4.000","66.7",".",".",".",".",".",".","33.3","",".",".","",".","",".",".",".",".","."
