"ASIAN LANG & CULTURE: LANG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","","","",""
"","102
001","17","3.500","70.6","5.9","11.8",".","5.9",".","5.9",".","",".",".","",".","",".",".",".",".","."
"","002
102","16","3.667","62.5","25.0",".",".",".","6.3",".",".","",".",".","",".","",".","6.3",".",".","."
"","102
003","16","3.719","68.8","18.8","6.3",".","6.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Chinese","Course Total","49","3.625","67.3","16.3","6.1",".","4.1","2.0","2.0",".","",".",".","",".","",".","2.0",".",".","."
"","104
001","18","3.583","66.7","11.1","5.6","5.6","11.1",".",".",".","",".",".","",".","",".",".",".",".","."
"","104
002","15","3.500","60.0","13.3","6.7","6.7","13.3",".",".",".","",".",".","",".","",".",".",".",".","."
"","104
003","17","3.735","58.8","29.4","11.8",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","104
004","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","104
005","12","3.667","58.3","25.0","8.3","8.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","104
006","16","3.594","50.0","25.0","18.8","6.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","104
007","18","3.206","44.4","11.1","16.7","5.6","11.1",".","5.6",".","",".",".","",".","",".","5.6",".",".","."
"Second Semester Japanese","Course Total","110","3.564","57.3","19.1","10.9","5.5","5.5",".","0.9",".","",".",".","",".","",".","0.9",".",".","."
"Second Semester Korean","106
001","62","3.702","69.4","17.7","6.5","3.2","1.6",".","1.6",".","",".",".","",".","",".",".",".",".","."
"","113
001","19","3.684","73.7","21.1",".",".",".",".","5.3",".","",".",".","",".","",".",".",".",".","."
"","113
002","19","3.750","68.4","15.8","5.3",".","5.3",".",".","5.3","",".",".","",".","",".",".",".",".","."
"First Semester Elem Japanese","Course Total","38","3.716","71.1","18.4","2.6",".","2.6",".","2.6","2.6","",".",".","",".","",".",".",".",".","."
"Second Semester Asian Language","122
001","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Filipino","124
001","6","3.083","50.0","16.7","16.7",".",".",".","16.7",".","",".",".","",".","",".",".",".",".","."
"Second Semester Hmong","126
001","12","3.792","75.0","16.7",".","8.3",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Indonesian","128
001","3","2.500",".",".","33.3","33.3","33.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Thai","130
001","3","3.333","66.7",".",".",".","33.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Vietnamese","132
001","10","3.850","70.0","30.0",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Hindi","134
001","9","3.333","33.3","22.2","22.2","22.2",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Modern Tibetan","136
001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Persian","138
001","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Urdu","140
001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","202
001","18","3.750","77.8","5.6","11.1",".","5.6",".",".",".","",".",".","",".","",".",".",".",".","."
"","202
002","13","3.846","84.6",".","15.4",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","202
003","9","3.444","66.7","22.2",".",".",".",".","11.1",".","",".",".","",".","",".",".",".",".","."
"Fourth Semester Chinese","Course Total","40","3.713","77.5","7.5","10.0",".","2.5",".","2.5",".","",".",".","",".","",".",".",".",".","."
"","204
001","14","3.536","42.9","35.7","14.3",".","7.1",".",".",".","",".",".","",".","",".",".",".",".","."
"","204
002","13","3.538","38.5","38.5","15.4","7.7",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","204
003","12","3.208","25.0","25.0","25.0","16.7","8.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Fourth Semester Japanese","Course Total","39","3.436","35.9","33.3","17.9","7.7","5.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Fourth Semester Korean","206
001","29","3.759","79.3","6.9","3.4","6.9","3.4",".",".",".","",".",".","",".","",".",".",".",".","."
"Fourth Semester Filipino","224
001","4","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Fourth Semester Hmong","226
001","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Fourth Semester Indonesian","228
001","3","4.000","33.3",".",".",".",".",".",".","66.7","",".",".","",".","",".",".",".",".","."
"Fourth Semester Thai","230
001","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","232
001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","232
002","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","Page 183 of 454",""
