"SPANISH (SPANISH AND PORTU Section","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","","","","","",""
"","101
001","22","3.455","50.0","9.1","31.8",".","9.1",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","101
002","21","2.976","38.1","4.8","9.5","9.5","38.1",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","101
003","22","3.023","40.9","18.2","18.2","4.5","4.5",".","13.6","",".","",".",".","",".","",".","",".",".",".","."
"","101
004","21","3.286","38.1","28.6","23.8",".",".","4.8","4.8","",".","",".",".","",".","",".","",".",".",".","."
"","101
005","23","2.955","17.4","17.4","26.1","8.7","26.1",".",".","",".","",".",".","",".","",".","",".",".",".","4.3"
"","101
006","20","2.525","20.0","10.0","25.0","15.0","10.0","5.0","15.0","",".","",".",".","",".","",".","",".",".",".","."
"","101
007","18","2.722","16.7","16.7","27.8","16.7","11.1",".","11.1","",".","",".",".","",".","",".","",".",".",".","."
"First Semester Spanish","Course Total","147","3.003","32.0","15.0","23.1","7.5","14.3","1.4","6.1","",".","",".",".","",".","",".","",".",".",".","0.7"
"","102
001","19","3.105","26.3","21.1","31.6","10.5","5.3",".","5.3","",".","",".",".","",".","",".","",".",".",".","."
"","002
102","23","2.565","4.3","17.4","39.1","8.7","17.4","4.3","8.7","",".","",".",".","",".","",".","",".",".",".","."
"","102
003","22","2.682","13.6","13.6","40.9","4.5","13.6","4.5","9.1","",".","",".",".","",".","",".","",".",".",".","."
"","102
004","22","2.864","22.7","9.1","36.4","9.1","13.6","4.5","4.5","",".","",".",".","",".","",".","",".",".",".","."
"","102
005","16","2.094",".","6.3","12.5","25.0","37.5","12.5","6.3","",".","",".",".","",".","",".","",".",".",".","."
"","102
006","10","3.800","70.0","20.0","10.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Second Semester Spanish","Course Total","112","2.781","18.8","14.3","31.3","9.8","15.2","4.5","6.3","",".","",".",".","",".","",".","",".",".",".","."
"","203
001","10","3.300","30.0","30.0","20.0","10.0","10.0",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","203
002","22","3.545","45.5","27.3","18.2","9.1",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","203
003","24","3.354","54.2","8.3","20.8","4.2","8.3",".","4.2","",".","",".",".","",".","",".","",".",".",".","."
"","203
004","21","3.429","47.6","9.5","33.3",".","9.5",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","203
005","21","3.857","85.7","9.5",".",".","4.8",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","203
006","16","3.656","62.5","12.5","18.8","6.3",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","203
007","17","3.676","58.8","23.5","11.8","5.9",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Third Semester Spanish","Course Total","131","3.553","56.5","16.0","17.6","4.6","4.6",".","0.8","",".","",".",".","",".","",".","",".",".",".","."
"","204
001","9","3.389","33.3","33.3","22.2",".","11.1",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","204
002","13","3.462","53.8","15.4","15.4",".","15.4",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","003
204","24","3.708","79.2","8.3",".","8.3",".","4.2",".","",".","",".",".","",".","",".","",".",".",".","."
"","004
204","24","3.271","29.2","41.7","12.5","4.2","4.2","8.3",".","",".","",".",".","",".","",".","",".",".",".","."
"","204
005","24","3.479","62.5","4.2","25.0",".","4.2",".","4.2","",".","",".",".","",".","",".","",".",".",".","."
"","204
006","15","3.767","73.3","6.7","20.0",".",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"","204
007","13","3.808","84.6",".","7.7","7.7",".",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Fourth Semester Spanish","Course Total","122","3.545","59.8","15.6","13.9","3.3","4.1","2.5","0.8","",".","",".",".","",".","",".","",".",".",".","."
"Intro to Hispanic Cultures","223
001","108","3.682","66.7","15.7","10.2","0.9","4.6","0.9",".","","0.9","",".",".","",".","",".","",".",".",".","."
"Intro-Hispanic Literatures","224
001","87","3.448","52.9","11.5","18.4","9.2","6.9","1.1",".","",".","",".",".","",".","",".","",".",".",".","."
"Linguistic Study of Spanish","225
001","108","3.486","38.9","38.0","13.9","3.7","4.6",".","0.9","",".","",".",".","",".","",".","",".",".",".","."
