"","999
017","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","999
018","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"","999
024","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Independent Reading","Course Total","14","4.000","57.1",".",".",".",".",".",".","28.6","",".",".","",".",".",".",".","14.3","."
"ED POL
310","Dept. Total","935","3.792","72.3","10.2","3.7","2.8","1.7","0.4","0.3","4.9","",".",".","",".","1.0","2.2",".","0.2","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"310
ED POL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","88","3.753","68.2","17.0","4.5","5.7","1.1",".",".",".","",".",".","",".",".","3.4",".",".","."
"Sophomore","","218","3.823","79.4","11.0","4.1","2.8","0.9",".","0.5",".","",".",".","",".",".","0.9",".",".","0.5"
"Junior","","293","3.816","77.5","10.6","3.1","3.1","2.4",".",".",".","",".",".","",".",".","3.4",".",".","."
"Senior","","226","3.737","77.4","10.2","4.4","2.2","2.2","1.8","0.9","0.4","",".",".","",".",".","0.4",".",".","."
"Undergraduates","","825","3.789","77.0","11.3","3.9","3.0","1.8","0.5","0.4","0.1","",".",".","",".",".","1.9",".",".","0.1"
"Special","","13","3.318","30.8","15.4","23.1","7.7","7.7",".",".",".","",".",".","",".",".","7.7",".",".","7.7"
"Graduate","","97","4.000","38.1",".",".",".",".",".",".","46.4","",".",".","",".","9.3","4.1",".","2.1","."
"","Dept. Total","935","3.792","72.3","10.2","3.7","2.8","1.7","0.4","0.3","4.9","",".",".","",".","1.0","2.2",".","0.2","0.2"
