"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"LSC","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","161","3.657","69.6","16.1","6.2","3.1","1.9","1.2","1.9",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","185","3.626","71.4","10.8","7.0","4.3","2.2","3.2","1.1",".","",".",".","",".","",".","",".",".",".","."
"Junior","121","3.686","68.6","17.4","5.0","5.0","2.5","1.7",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","189","3.804","77.8","13.8","4.2","0.5","2.6",".","0.5",".","",".",".","",".","",".","",".",".",".","0.5"
"Undergraduates","656","3.696","72.3","14.2","5.6","3.0","2.3","1.5","0.9",".","",".",".","",".","",".","",".",".",".","0.2"
"Special","9","3.889","88.9",".","11.1",".",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","93","3.953","62.4","6.5",".",".",".",".",".","8.6","",".","22.6","",".","",".","",".",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","100.0","",".","",".","",".",".",".","."
"Professionals","2","***","","","","","","","","","","","50.0","",".","",".","",".",".",".","."
