"L&S","","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"PSYCH
820","Dept. Total","5066","3.285","42.9","16.8","17.1","9.3","8.0","3.1","1.1","0.9","",".",".","",".","0.2","0.5",".","0.1","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","605","2.898","21.0","21.3","19.8","15.5","10.6","7.6","2.8",".","",".",".","",".",".","1.0",".","0.2","0.2"
"Sophomore","","1190","3.186","36.5","18.1","19.0","10.6","10.8","3.4","1.3","0.1","",".",".","",".",".","0.3",".",".","."
"Junior","","1212","3.217","37.9","16.3","20.7","11.0","9.9","2.9","1.0",".","",".",".","",".",".","0.4",".",".","."
"Senior","","1817","3.475","54.4","16.4","14.3","6.3","5.1","1.8","0.8","0.2","",".",".","",".","0.1","0.6",".",".","0.2"
"Undergraduates","","4824","3.272","41.6","17.4","17.7","9.7","8.4","3.2","1.2","0.1","",".",".","",".","0.0","0.5",".","0.0","0.1"
"Special","","16","2.772","18.8","12.5","31.3","6.3","12.5","12.5",".",".","",".",".","",".",".",".",".","6.3","."
"Graduate","","223","3.910","71.3","4.0","1.3","0.4",".",".",".","19.3","",".","0.4","",".","2.7",".",".","0.4","."
"Prof Yr 3","","4","***","","","","","","","","","","",".","",".","25.0",".",".",".","."
"Professionals","","4","***","","","","","","","","","","",".","",".","25.0",".",".",".","."
"","Dept. Total","5067","3.285","42.9","16.8","17.1","9.3","8.0","3.1","1.1","0.9","",".","0.0","",".","0.2","0.5",".","0.1","0.1"
