"Spring 2021-2022","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","","","","","","",""
"DANCE","Section","#","","Ave","A","AB","B","BC","C","","D","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","","","","","","","",""
"","212
003","","9","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","212
004","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Contemp Dance Tech & Th IV","Course Total","","30","3.780","90.0","3.3","3.3",".","",".",".","3.3",".","",".",".","",".","",".","",".",".",".","."
"","226
001","","15","3.933","86.7","13.3",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","226
002","","9","4.000","88.9",".",".",".","",".",".",".","11.1","",".",".","",".","",".","",".",".",".","."
"","226
003","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Ballet Technique II-B","Course Total","","25","3.949","88.0","8.0",".",".","",".",".",".","4.0","",".",".","",".","",".","",".",".",".","."
"Pilates Equipment II","236
001","","10","3.950","90.0","10.0",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dance Production Laboratory","240
001","","7","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Collaborative Arts Perform Lab","259
001","","14","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","312
001","","7","3.643","71.4",".","14.3","14.3","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","312
003","","10","3.750","80.0",".","10.0","10.0","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Contemp Dance Tech & Th VI","Course Total","","17","3.688","76.5",".","11.8","11.8","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Ballet Technique III-B","326
001","","2","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","341
001","","5","3.800","80.0",".","20.0",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","341
002","","10","3.250","50.0",".","30.0","10.0","",".","10.0",".",".","",".",".","",".","",".","",".",".",".","."
"Sound Dsgn-Perf/Visual Arts","Course Total","","15","3.433","60.0",".","26.7","6.7","",".","6.7",".",".","",".",".","",".","",".","",".",".",".","."
"Dance History II: Contemporary","365
001","","12","3.917","91.7",".","8.3",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Teaching Dance","374
001","","7","3.786","85.7",".",".","14.3","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Pilates Teaching Methods","375
001","","8","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
012","","2","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","399
020","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Project","Course Total","","3","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dance Therapy Practicum","431
001","","7","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dance Repertory Theater","452
001","","10","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Dance Composition III","455
001","","10","3.800","80.0",".","20.0",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior Project","463
001","","10","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
002","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
014","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
016","","1","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"","699
018","","2","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
"Independent Project","Course Total","","5","4.000","100.0",".",".",".","",".",".",".",".","",".",".","",".","",".","",".",".",".","."
