"LAW","Section","# 
Ave","A","AB","","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades
GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","854
102","8",".","",".","",".",".","",".","",".","",".","87.5","",".",".","",".","",".","",".",".",".","12.5"
"","854
103","6",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","854
104","6",".","",".","",".",".","",".","",".","",".","83.3","",".",".","",".","",".","",".",".",".","16.7"
"","854
105","4",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","854
106","6",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","854
107","7",".","",".","",".",".","",".","",".","",".","85.7","",".",".","",".","",".","",".",".",".","14.3"
"","854
108","8",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","854
109","12",".","",".","",".",".","",".","",".","",".","75.0","",".",".","",".","",".","",".",".",".","25.0"
"","854
110","3",".","",".","",".",".","",".","",".","",".","66.7","",".",".","",".","",".","",".",".",".","33.3"
"","854
111","22",".","",".","",".",".","",".","",".","",".","95.5","",".",".","",".","",".","",".",".",".","4.5"
"","854
112","36",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","854
113","27",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","854
114","5",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","854
115","3",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","854
116","27",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Clinical Program","Course Total","185",".","",".","",".",".","",".","",".","",".","95.1","",".",".","",".","",".","",".",".",".","4.9"
"Advanced Criminal Procedure","860
001","6",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","862
001","7",".","",".","",".",".","",".","",".","",".","85.7","",".",".","",".","",".","",".",".",".","14.3"
"","862
002","6",".","",".","",".",".","",".","",".","",".","83.3","",".",".","",".","",".","",".",".",".","16.7"
"Institutionalized Persons","Course Total","13",".","",".","",".",".","",".","",".","",".","84.6","",".",".","",".","",".","",".",".",".","15.4"
"International Tax","870
001","6
0.000",".","",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"International Trade Law","871
001","18
1.667","16.7","",".","","33.3",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Wisconsin Internl Law Journ","895
001","73",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Journal of Law, Gender & Soc.","896
001","39",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Law Review","899
001","79",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Constitutional Law Seminar","904
001","19
1.667","15.8","",".","","31.6",".","",".","",".","",".","5.3","",".",".","",".","",".","",".",".",".","."
"Securities Regulation","914
001","22
1.136","22.7","",".","","4.5",".","","4.5","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","915
001","4",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","915
002","18
0.833",".","",".","","27.8",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Probs-Criminal Justice Adm","Course Total","22
0.833",".","",".","22.7","",".","",".","",".","",".","18.2","",".",".","",".","",".","",".",".",".","."
"","918
001","8",".","",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","918
002","18
1.917","27.8","","5.6","","16.7",".","","5.6","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","918
003","19
1.941","15.8","",".","","36.8",".","",".","",".","",".","10.5","",".",".","",".","",".","",".",".",".","."
"Problems: Intl Law Seminar","Course Total","45
1.926","17.8","","2.2","22.2","",".","","2.2","",".","",".","22.2","",".",".","",".","",".","",".",".",".","."
"Probs-Jurisprudence Seminar","922
001","13
0.769","7.7","",".","","15.4",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Problems- Land Law Seminar","928
001","15
2.143","46.7","",".","",".",".","","6.7","",".","",".","6.7","",".",".","",".","",".","",".",".",".","."
"Health Law & Admin Seminar","935
001","29
0.786","10.3","",".","","6.9",".","","6.9","",".","",".","3.4","",".",".","",".","",".","",".",".",".","."
"","939
001","18
1.944","22.2","",".","","27.8",".","","11.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","939
002","8
1.625","12.5","",".","","37.5",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Problems in Family Law-Smr","Course Total","26
1.871","19.2","",".","30.8","",".","","7.7","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","940
101","16
1.200","18.8","",".","","12.5",".","",".","",".","",".",".","",".",".","",".","",".","","6.3",".",".","."
"","940
102","18
2.118","16.7","",".","","44.4",".","",".","",".","",".",".","",".",".","",".","",".","","5.6",".",".","."
"June 17, 2022","","","","","","","","","","","","","","","","","","","","","","","","","","Page 353 of 454",""
