"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","24","3.854","70.8","29.2",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Intro African Lit","201
001","99","3.808","82.8","5.1","9.1","1.0","1.0",".","1.0",".","",".",".","",".","",".",".",".",".","."
"Intro African Cultural Studies","202
001","22","3.950","81.8","9.1",".",".",".",".",".",".","",".",".","",".","",".","9.1",".",".","."
"","203
001","15","3.643","60.0","26.7",".",".",".","6.7",".",".","",".",".","",".","",".",".","6.7",".","."
"","203
002","19","3.278","21.1","42.1","26.3",".",".",".","5.3",".","",".",".","",".","",".",".","5.3",".","."
"Intro Topics in African Lit","Course Total","34","3.438","38.2","35.3","14.7",".",".","2.9","2.9",".","",".",".","",".","",".",".","5.9",".","."
"Intro Topics African Languages","204
001","19","3.579","63.2","21.1","10.5",".",".",".","5.3",".","",".",".","",".","",".",".",".",".","."
"","210
001","25","3.885","44.0","4.0","4.0",".",".",".",".","48.0","",".",".","",".","",".",".",".",".","."
"","210
002","25","3.500","56.0","28.0","8.0",".",".","4.0","4.0",".","",".",".","",".","",".",".",".",".","."
"","210
003","29","3.741","65.5","27.6",".","3.4","3.4",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
004","28","3.875","82.1","10.7","7.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
005","22","3.571","72.7",".","4.5","9.1","4.5","4.5",".",".","",".",".","",".","",".","4.5",".",".","."
"The African Storyteller","Course Total","129","3.707","64.3","14.7","4.7","2.3","1.6","1.6","0.8","9.3","",".",".","",".","",".","0.8",".",".","."
"Africa: Introductory Survey","277
001","48","3.539","31.3","39.6","2.1",".","4.2","2.1",".","20.8","",".",".","",".","",".",".",".",".","."
"","322
001","14","3.393","50.0","35.7",".",".",".","14.3",".",".","",".",".","",".","",".",".",".",".","."
"","322
002","4","3.625","50.0","25.0","25.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Arabic","Course Total","18","3.444","50.0","33.3","5.6",".",".","11.1",".",".","",".",".","",".","",".",".",".",".","."
"Fourth Semester Arabic","324
001","11","3.500","27.3","36.4","27.3",".",".",".",".",".","",".",".","",".","",".","9.1",".",".","."
"Sixth Semester Arabic","330
001","6","3.417","16.7","50.0","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Swahili","332
001","9","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","334
001","7","3.571","42.9","28.6","28.6",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","334
002","2","1.750",".","50.0",".",".",".",".","50.0",".","",".",".","",".","",".",".",".",".","."
"Fourth Semester Swahili","Course Total","9","3.167","33.3","33.3","22.2",".",".",".","11.1",".","",".",".","",".","",".",".",".",".","."
"","372
001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","372
002","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Second Semester Yoruba","Course Total","3","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Theories of Afr Cult Studies","403
001","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sixth Semester Swahili","436
001","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Adv. African Cultural Studies","605
001","5","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Multilanguage Seminar","671
001","6","3.833","83.3",".","16.7",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
023","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","699
030","1","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Directed Study","Course Total","2","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Theories of Afr Cult Studies","803
001","8","3.833","62.5",".","12.5",".",".",".",".","12.5","",".",".","",".","",".","12.5",".",".","."
"Smr-Mod Afr Lit","901
001","8","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sem in ACS: Tpcs","905
001","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","990
003","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
023","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"","990
032","2","",".",".",".",".",".",".",".",".","",".",".","",".","100.0","",".",".",".","."
"","990
033","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Thesis","Course Total","8","",".",".",".",".",".",".",".","75.0","",".",".","",".","25.0","",".",".",".","."
