"FOLKLORE PROGRAM","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","194","3.732","71.1","14.4","5.2","3.1","3.6",".","0.5",".","",".",".","",".","",".","0.5",".","1.0","0.5"
"Intro US Ethnic/Am Ind Studies","102
001","52","3.820","80.8","7.7","1.9",".","5.8",".",".",".","",".",".","",".","",".","3.8",".",".","."
"Intro-Mus Cult of the World","103
001","83","3.855","90.4","2.4","4.8",".",".","1.2","1.2",".","",".",".","",".","",".",".",".",".","."
"","210
001","4","3.500","50.0",".","50.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
002","10","3.600","60.0",".","40.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
003","6","3.583","50.0","16.7","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","210
004","12","3.500","75.0","8.3",".","8.3",".",".","8.3",".","",".",".","",".","",".",".",".",".","."
"","210
005","14","3.857","78.6","14.3","7.1",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"The African Storyteller","Course Total","46","3.641","67.4","8.7","19.6","2.2",".",".","2.2",".","",".",".","",".","",".",".",".",".","."
"Elem Topics in Folklore","215
001","36","3.729","55.6","30.6","11.1",".",".",".",".","2.8","",".",".","",".","",".",".",".",".","."
"The Nordic Storyteller","345
001","17","3.559","47.1","29.4","17.6",".","5.9",".",".",".","",".",".","",".","",".",".",".",".","."
"Kalevala&Finn Folklr-Transl","347
001","6","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Scandinavian American Folklore","440
001","6","3.333","83.3",".",".",".",".",".","16.7",".","",".",".","",".","",".",".",".",".","."
"FOLKLORE
380","Dept. Total","440","3.747","73.9","12.3","7.0","1.6","2.5","0.2","0.9","0.2","",".",".","",".","",".","0.7",".","0.5","0.2"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","72","3.701","69.4","16.7","9.7","1.4",".","1.4","1.4",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","136","3.858","82.4","8.1","5.9","0.7","1.5",".",".",".","",".",".","",".","",".","1.5",".",".","."
"Junior","","124","3.746","74.2","13.7","5.6","0.8","2.4",".","1.6",".","",".",".","",".","",".","0.8",".",".","0.8"
"Senior","","102","3.647","67.6","13.7","8.8","3.9","4.9",".","1.0",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","434","3.750","74.4","12.4","7.1","1.6","2.3","0.2","0.9",".","",".",".","",".","",".","0.7",".",".","0.2"
"Special","","4","***","","","","","","","","","","",".","",".","",".",".",".","50.0","."
"Graduate","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","440","3.747","73.9","12.3","7.0","1.6","2.5","0.2","0.9","0.2","",".",".","",".","",".","0.7",".","0.5","0.2"
