"L&S","","","","","","","","","","","","","","","","","","","","",""
"LAFOLLETTE SCHOOL PUB AFF Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","",""
"PUB AFFR
Dept. Total
826","601","3.707","65.1","18.1","6.8","3.7","1.5","0.2","0.8","2.7","",".",".","",".","",".","0.7",".","0.5","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"826
PUB AFFR","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","12","3.208","33.3","16.7","25.0","8.3","16.7",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","63","3.169","34.9","27.0","14.3","9.5","4.8","1.6","6.3",".","",".",".","",".","",".","1.6",".",".","."
"Junior","107","3.623","56.1","21.5","14.0","4.7","2.8",".",".",".","",".",".","",".","",".","0.9",".",".","."
"Senior","168","3.765","73.2","14.3","5.4","4.8","0.6",".","0.6","1.2","",".",".","",".","",".",".",".",".","."
"Undergraduates","350","3.595","59.7","18.9","10.3","5.7","2.6","0.3","1.4","0.6","",".",".","",".","",".","0.6",".",".","."
"Special","9","4.000","55.6",".",".",".",".",".",".","22.2","",".",".","",".","",".",".",".","22.2","."
"Graduate","235","3.873","73.6","17.0","2.1","0.9",".",".",".","5.1","",".",".","",".","",".","0.9",".","0.4","."
"Prof Yr 3","3","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 4","4","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","7","3.786","57.1","42.9",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Dept. Total","601","3.707","65.1","18.1","6.8","3.7","1.5","0.2","0.8","2.7","",".",".","",".","",".","0.7",".","0.5","."
